"","m","ResponseId.x","behavior","numeracy","numeracy.f","certainty","estimate","actual","estimation.bias","estimation.bias.log","absolute.error","absolute.error.log","actual.log","estimate.log","climate_concern","concern.scaled","Duration.wave1","ResponseId.wave1","gender","country","education","household_size","politicalorientation_1","Duration.wave2","ResponseId.y","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"17",227471450945619,"R_2qw808RHTW32LfJ","dishwasher",25,"numeracy high",2,900,74,12.1621621621622,1.08501078970835,12.1621621621622,1.08501078970835,1.86923171973098,2.95424250943932,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"18",227471450945619,"R_2qw808RHTW32LfJ","dryer",25,"numeracy high",3,800,1088,0.735294117647059,-0.133538908370217,0.735294117647059,0.133538908370217,3.03662889536216,2.90308998699194,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"19",227471450945619,"R_2qw808RHTW32LfJ","fridge",25,"numeracy high",3,300,52,5.76923076923077,0.761117911084863,5.76923076923077,0.761117911084863,1.7160033436348,2.47712125471966,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"20",227471450945619,"R_2qw808RHTW32LfJ","hairdryer",25,"numeracy high",3,200,128,1.5625,0.193820026016113,1.5625,0.193820026016113,2.10720996964787,2.30102999566398,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"21",227471450945619,"R_2qw808RHTW32LfJ","heating",25,"numeracy high",3,800,1141,0.7011393514461,-0.154195657426271,0.7011393514461,0.154195657426271,3.05728564441821,2.90308998699194,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"22",227471450945619,"R_2qw808RHTW32LfJ","light",25,"numeracy high",3,50,358,0.139664804469274,-0.854913022307856,0.139664804469274,0.854913022307856,2.55388302664387,1.69897000433602,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"23",227471450945619,"R_2qw808RHTW32LfJ","shower",25,"numeracy high",2,500,1186,0.421585160202361,-0.375114684692225,0.421585160202361,0.375114684692225,3.07408468902824,2.69897000433602,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"24",227471450945619,"R_2qw808RHTW32LfJ","washing",25,"numeracy high",2,100,127,0.78740157480315,-0.103803720955957,0.78740157480315,0.103803720955957,2.10380372095596,2,5,0.195812807881773,1465,"R_eFZQYTp4gO6YksF","female","Switzerland","degree",5,4,1572,"R_2qw808RHTW32LfJ",57,"2'500- 4'000€
<4'300- 5'899CHF",24,26,"okay"
"25",227471450957862,"R_1oqkBndhcpDZMqi","dishwasher",30,"numeracy low",2,20,74,0.27027027027027,-0.568201724066995,0.27027027027027,0.568201724066995,1.86923171973098,1.30102999566398,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"26",227471450957862,"R_1oqkBndhcpDZMqi","dryer",30,"numeracy low",2,35,1088,0.0321691176470588,-1.49256085101189,0.0321691176470588,1.49256085101189,3.03662889536216,1.54406804435028,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"27",227471450957862,"R_1oqkBndhcpDZMqi","fridge",30,"numeracy low",2,35,52,0.673076923076923,-0.171935299284524,0.673076923076923,0.171935299284524,1.7160033436348,1.54406804435028,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"28",227471450957862,"R_1oqkBndhcpDZMqi","hairdryer",30,"numeracy low",2,20,128,0.15625,-0.806179973983887,0.15625,0.806179973983887,2.10720996964787,1.30102999566398,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"29",227471450957862,"R_1oqkBndhcpDZMqi","heating",30,"numeracy low",2,40,1141,0.035056967572305,-1.45522565309025,0.035056967572305,1.45522565309025,3.05728564441821,1.60205999132796,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"30",227471450957862,"R_1oqkBndhcpDZMqi","light",30,"numeracy low",2,10,358,0.0279329608938547,-1.55388302664387,0.0279329608938547,1.55388302664387,2.55388302664387,1,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"31",227471450957862,"R_1oqkBndhcpDZMqi","shower",30,"numeracy low",2,15,1186,0.0126475548060708,-1.89799342997256,0.0126475548060708,1.89799342997256,3.07408468902824,1.17609125905568,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"32",227471450957862,"R_1oqkBndhcpDZMqi","washing",30,"numeracy low",2,25,127,0.196850393700787,-0.705863712283919,0.196850393700787,0.705863712283919,2.10380372095596,1.39794000867204,5,0.195812807881773,574,"R_DqafDJUij6pOidj","female","Switzerland","no formal education",3,4,851,"R_1oqkBndhcpDZMqi",41,"2'500- 4'000€
<4'300- 5'899CHF",9,14,"okay"
"33",229166066768915,"R_3rS4w78ysOQsr12","dishwasher",25,"numeracy high",4,1000,74,13.5135135135135,1.13076828026902,13.5135135135135,1.13076828026902,1.86923171973098,3,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"34",229166066768915,"R_3rS4w78ysOQsr12","dryer",25,"numeracy high",4,2500,1088,2.29779411764706,0.361311113309877,2.29779411764706,0.361311113309877,3.03662889536216,3.39794000867204,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"35",229166066768915,"R_3rS4w78ysOQsr12","fridge",25,"numeracy high",4,1000,52,19.2307692307692,1.2839966563652,19.2307692307692,1.2839966563652,1.7160033436348,3,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"36",229166066768915,"R_3rS4w78ysOQsr12","hairdryer",25,"numeracy high",3,300,128,2.34375,0.369911285071794,2.34375,0.369911285071794,2.10720996964787,2.47712125471966,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"37",229166066768915,"R_3rS4w78ysOQsr12","heating",25,"numeracy high",4,500,1141,0.438212094653812,-0.358315640082196,0.438212094653812,0.358315640082196,3.05728564441821,2.69897000433602,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"38",229166066768915,"R_3rS4w78ysOQsr12","light",25,"numeracy high",3,1000,358,2.79329608938547,0.446116973356126,2.79329608938547,0.446116973356126,2.55388302664387,3,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"39",229166066768915,"R_3rS4w78ysOQsr12","shower",25,"numeracy high",4,1200,1186,1.01180438448567,0.00509655701938103,1.01180438448567,0.00509655701938103,3.07408468902824,3.07918124604762,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"40",229166066768915,"R_3rS4w78ysOQsr12","washing",25,"numeracy high",3,500,127,3.93700787401575,0.595166283380062,3.93700787401575,0.595166283380062,2.10380372095596,2.69897000433602,4.75,-0.0541871921182269,1200,"R_sSR9IooKusigb73","male","Germany","middle school",1,7,639,"R_3rS4w78ysOQsr12",35,"<1'500- 2'499€
3'100-4'299CHF",20,10,"okay"
"41",229166066770991,"R_3nAgm8GpHtzVUDU","dishwasher",5,"numeracy low",6,5,74,0.0675675675675676,-1.17026171539496,0.0675675675675676,1.17026171539496,1.86923171973098,0.698970004336019,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"42",229166066770991,"R_3nAgm8GpHtzVUDU","dryer",5,"numeracy low",6,50,1088,0.0459558823529412,-1.33765889102614,0.0459558823529412,1.33765889102614,3.03662889536216,1.69897000433602,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"43",229166066770991,"R_3nAgm8GpHtzVUDU","fridge",5,"numeracy low",5,10,52,0.192307692307692,-0.716003343634799,0.192307692307692,0.716003343634799,1.7160033436348,1,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"44",229166066770991,"R_3nAgm8GpHtzVUDU","hairdryer",5,"numeracy low",4,5,128,0.0390625,-1.40823996531185,0.0390625,1.40823996531185,2.10720996964787,0.698970004336019,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"45",229166066770991,"R_3nAgm8GpHtzVUDU","heating",5,"numeracy low",5,25,1141,0.0219106047326906,-1.65934563574618,0.0219106047326906,1.65934563574618,3.05728564441821,1.39794000867204,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"46",229166066770991,"R_3nAgm8GpHtzVUDU","light",5,"numeracy low",5,30,358,0.0837988826815642,-1.07676177192421,0.0837988826815642,1.07676177192421,2.55388302664387,1.47712125471966,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"47",229166066770991,"R_3nAgm8GpHtzVUDU","shower",5,"numeracy low",4,10,1186,0.00843170320404722,-2.07408468902824,0.00843170320404722,2.07408468902824,3.07408468902824,1,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"48",229166066770991,"R_3nAgm8GpHtzVUDU","washing",5,"numeracy low",5,15,127,0.118110236220472,-0.927712461900276,0.118110236220472,0.927712461900276,2.10380372095596,1.17609125905568,4,-0.804187192118227,697,"R_3ffPXWQN4a5pytn","male","Germany","middle school",1,5,886,"R_3nAgm8GpHtzVUDU",69,"<1'500- 2'499€
3'100-4'299CHF",11,14,"okay"
"49",229166066770993,"R_1mPZTN6F4Yrwu6f","dishwasher",33,"numeracy low",4,50,74,0.675675675675676,-0.170261715394957,0.675675675675676,0.170261715394957,1.86923171973098,1.69897000433602,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"50",229166066770993,"R_1mPZTN6F4Yrwu6f","dryer",33,"numeracy low",3,600,1088,0.551470588235294,-0.258477644978517,0.551470588235294,0.258477644978517,3.03662889536216,2.77815125038364,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"51",229166066770993,"R_1mPZTN6F4Yrwu6f","fridge",33,"numeracy low",4,100,52,1.92307692307692,0.283996656365201,1.92307692307692,0.283996656365201,1.7160033436348,2,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"52",229166066770993,"R_1mPZTN6F4Yrwu6f","hairdryer",33,"numeracy low",4,14,128,0.109375,-0.96108193396963,0.109375,0.96108193396963,2.10720996964787,1.14612803567824,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"53",229166066770993,"R_1mPZTN6F4Yrwu6f","heating",33,"numeracy low",4,1000,1141,0.876424189307625,-0.0572856444182146,0.876424189307625,0.0572856444182146,3.05728564441821,3,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"54",229166066770993,"R_1mPZTN6F4Yrwu6f","light",33,"numeracy low",3,200,358,0.558659217877095,-0.252853030979893,0.558659217877095,0.252853030979893,2.55388302664387,2.30102999566398,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"55",229166066770993,"R_1mPZTN6F4Yrwu6f","shower",33,"numeracy low",3,150,1186,0.126475548060708,-0.897993429972563,0.126475548060708,0.897993429972563,3.07408468902824,2.17609125905568,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"56",229166066770993,"R_1mPZTN6F4Yrwu6f","washing",33,"numeracy low",3,250,127,1.96850393700787,0.294136287716081,1.96850393700787,0.294136287716081,2.10380372095596,2.39794000867204,5.5,0.695812807881773,1609,"R_O8b53p7xh5bwplT","male","Germany","obligatory school",2,5,4263,"R_1mPZTN6F4Yrwu6f",58,"2'500- 4'000€
<4'300- 5'899CHF",26,71,"okay"
"57",229166066778296,"R_1Frcm9brNvhVz0E","dishwasher",30,"numeracy low",3,25,74,0.337837837837838,-0.471291711058939,0.337837837837838,0.471291711058939,1.86923171973098,1.39794000867204,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"58",229166066778296,"R_1Frcm9brNvhVz0E","dryer",30,"numeracy low",3,40,1088,0.0367647058823529,-1.4345689040342,0.0367647058823529,1.4345689040342,3.03662889536216,1.60205999132796,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"59",229166066778296,"R_1Frcm9brNvhVz0E","fridge",30,"numeracy low",3,30,52,0.576923076923077,-0.238882088915137,0.576923076923077,0.238882088915137,1.7160033436348,1.47712125471966,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"60",229166066778296,"R_1Frcm9brNvhVz0E","hairdryer",30,"numeracy low",3,10,128,0.078125,-1.10720996964787,0.078125,1.10720996964787,2.10720996964787,1,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"61",229166066778296,"R_1Frcm9brNvhVz0E","heating",30,"numeracy low",3,25,1141,0.0219106047326906,-1.65934563574618,0.0219106047326906,1.65934563574618,3.05728564441821,1.39794000867204,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"62",229166066778296,"R_1Frcm9brNvhVz0E","light",30,"numeracy low",2,15,358,0.0418994413407821,-1.37779176758819,0.0418994413407821,1.37779176758819,2.55388302664387,1.17609125905568,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"63",229166066778296,"R_1Frcm9brNvhVz0E","shower",30,"numeracy low",2,25,1186,0.021079258010118,-1.67614468035621,0.021079258010118,1.67614468035621,3.07408468902824,1.39794000867204,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"64",229166066778296,"R_1Frcm9brNvhVz0E","washing",30,"numeracy low",3,25,127,0.196850393700787,-0.705863712283919,0.196850393700787,0.705863712283919,2.10380372095596,1.39794000867204,6,1.19581280788177,1123,"R_3gXXt1W2K8Pos3x","female","Germany","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF",18,20,"okay"
"65",229166066778304,"R_8hNT7jXVSBb9qhP","dishwasher",25,"numeracy high",3,50,74,0.675675675675676,-0.170261715394957,0.675675675675676,0.170261715394957,1.86923171973098,1.69897000433602,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"66",229166066778304,"R_8hNT7jXVSBb9qhP","dryer",25,"numeracy high",3,3000,1088,2.75735294117647,0.440492359357501,2.75735294117647,0.440492359357501,3.03662889536216,3.47712125471966,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"67",229166066778304,"R_8hNT7jXVSBb9qhP","fridge",25,"numeracy high",3,100,52,1.92307692307692,0.283996656365201,1.92307692307692,0.283996656365201,1.7160033436348,2,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"68",229166066778304,"R_8hNT7jXVSBb9qhP","hairdryer",25,"numeracy high",5,40,128,0.3125,-0.505149978319906,0.3125,0.505149978319906,2.10720996964787,1.60205999132796,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"69",229166066778304,"R_8hNT7jXVSBb9qhP","heating",25,"numeracy high",3,1000,1141,0.876424189307625,-0.0572856444182146,0.876424189307625,0.0572856444182146,3.05728564441821,3,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
"70",229166066778304,"R_8hNT7jXVSBb9qhP","light",25,"numeracy high",4,100,358,0.279329608938547,-0.553883026643874,0.279329608938547,0.553883026643874,2.55388302664387,2,5.5,0.695812807881773,1477,"R_1C4wdUlbfbQ1hML","male","Germany","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF",24,24,"okay"
