"","postal.code","ResponseId","m","country","price.diff.percent","price.diff","Preis2022","Preis2023"
"26",3097,"R_2S0octCIzzOhicw",229256171754731,2,1.17,0.3,25.6,25.9
"27",3110,"R_2OZmN3GX1csFnvS",229321438243967,2,43,9.14,21.2,30.4
"28",3115,"R_1ob4JLq5bEFQZX3",229678093131973,2,1.19,0.3,25.2,25.5
"29",3123,"R_3EgThIVtlqB8ZFN",229242450025714,2,68.6,15.4,22.4,37.8
"30",3174,"R_3sz7qUavyfVdYmv",229256171972822,2,1.17,0.3,25.6,25.9
"31",3178,"R_1mmFq3cx5odSSLt",229678093105251,2,19.8,4.19,21.2,25.4
"32",3183,"R_1jMMgQWaTF17FdD",229410206863586,2,1.19,0.3,25.2,25.5
"33",3186,"R_2xS2aNnxwYu52vT",229678093440224,2,19.8,4.19,21.2,25.4
"34",3213,"R_1Ff7YEINWKKGDH6",229166416673876,2,19.8,4.19,21.2,25.4
"35",3250,"R_2qw808RHTW32LfJ",227471450945619,2,66.8,16.3,24.5,40.8
"36",3270,"R_3khTb6ohZTEw1uj",229256171581482,2,204,35.1,17.2,52.2
"37",3270,"R_2tunXP6UyGFpYHU",229678093130942,2,204,35.1,17.2,52.2
"38",3270,"R_1GHQl4ynOuXKsoJ",229166416665772,2,204,35.1,17.2,52.2
"39",3322,"R_xfjqA81JKACqddn",229242449961111,2,58.1,11.9,20.5,32.4
"40",3360,"R_RWADUC9j2nEiRYl",229758454074603,2,17.7,4.18,23.7,27.9
"41",3363,"R_2ZCBDZDzOb6z8WQ",229242449974438,2,17.7,4.18,23.7,27.9
"42",3400,"R_1I4WlAa3OiJqVwK",229758453888227,2,55.5,12.9,23.3,36.2
"43",3432,"R_2OTucPfWLWySgbQ",229242450008195,2,6.01,1.39,24.1,25.5
"44",3436,"R_Oy85Q1DqMYq5jlD",229242449962145,2,3,0.143,21.7,21.8
"45",3510,"R_51PkHufroAjUffP",229410206661654,2,1.19,0.3,25.2,25.5
"46",3538,"R_2ya14O4rS4r6z6L",229678093158445,2,1.19,0.3,25.2,25.5
"47",3550,"R_2YQxuPlsGNs1gax",230469411989522,2,1.19,0.3,25.2,25.5
"48",3552,"R_1pyPj6pxQTGpmoY",230296025238534,2,1.19,0.3,25.2,25.5
"49",3661,"R_2D6c4MB4OoCIkDm",229321438330936,2,1.19,0.3,25.2,25.5
"50",3671,"R_1lzB3yQwCXpUq1d",229166416659487,2,1.19,0.3,25.2,25.5
"51",3672,"R_w5XWAQ49QLmCWfD",229242450030694,2,53.7,11.8,22.3,34.1
"52",3700,"R_C9p6GTOuQlnneOl",229321437542488,2,1.19,0.3,25.2,25.5
"53",3713,"R_22DlIOA1QuwsRtH",229256171670763,2,1.19,0.3,25.2,25.5
"54",3775,"R_1OZvYMVO8FhOvaF",230469412011106,2,1.19,0.3,25.2,25.5
"55",3862,"R_3MPAl1HRGhuO15w",229937963356233,2,1.19,0.3,25.2,25.5
"56",3862,"R_1Km3m54TPU3JKM1",229678093326426,2,1.19,0.3,25.2,25.5
"57",3902,"R_3pkY5QiTao68mOf",229256171622503,2,62.2,11,17.7,28.8
"58",3905,"R_1FmtO0YnX1gLS41",229321437677579,2,102,18.2,17.9,36.2
"59",4000,"R_27PatKwP1D3wBGB",229242449957958,2,11.7,3.32,28.4,31.7
"60",4052,"R_2tAodbyDXek1lmO",229678093431930,2,11.7,3.32,28.4,31.7
"61",4053,"R_2CZMbro8CP9Uu5t",229678093163595,2,11.7,3.32,28.4,31.7
"62",4054,"R_1dm0mgLEerYlg7d",229678093101130,2,11.7,3.32,28.4,31.7
"63",4055,"R_0wTi4jmliqouWu5",229937963021321,2,11.7,3.32,28.4,31.7
"64",4055,"R_2t9y2YhFbxge3FX",229242450002154,2,11.7,3.32,28.4,31.7
"65",4055,"R_2s1p24MNKJ6pXqN",229410206617741,2,11.7,3.32,28.4,31.7
"66",4055,"R_OCI2HeR32mrC0fv",229678093430898,2,11.7,3.32,28.4,31.7
"67",4055,"R_3XeseMFKEK1HLwd",230469411956853,2,11.7,3.32,28.4,31.7
"68",4055,"R_2th9gAtAIbanbIK",229678093336703,2,11.7,3.32,28.4,31.7
"69",4056,"R_RnnchR9GUfX0ytz",229937963343935,2,11.7,3.32,28.4,31.7
"70",4056,"R_cBDbI624h84mH4d",229242450029643,2,11.7,3.32,28.4,31.7
"71",4056,"R_2e4gsRcT2FLvlEh",229256171561183,2,11.7,3.32,28.4,31.7
"72",4057,"R_wNNGSTRMiJnLG8h",229410207404169,2,11.7,3.32,28.4,31.7
"73",4057,"R_2bN5F89p3dp47h6",229678093302790,2,11.7,3.32,28.4,31.7
"74",4103,"R_1mltiMTeFeXLWJB",229166416658444,2,45.9,9.85,21.5,31.3
"75",4123,"R_2PnvZ3t3ESLuuRg",229242449956920,2,45.9,9.85,21.5,31.3
"76",4125,"R_Ojo34qwq19Vpce5",227471319859447,2,11.7,3.32,28.4,31.7
"77",4127,"R_3NEcJYl36tldrhz",229678093270176,2,45.9,9.85,21.5,31.3
"78",4144,"R_2uOMTtyh1bXg9ty",230296025033849,2,45.9,9.85,21.5,31.3
"79",4147,"R_TowBIbjzMvWm63v",229678093141220,2,45.9,9.85,21.5,31.3
"80",4303,"R_yjvkrUjn49WQFHj",229242449970251,2,24.3,4.92,20.2,25.1
"81",4313,"R_241nEMMdhWumQoO",229256171951216,2,24.3,4.92,20.2,25.1
"82",4419,"R_2q8jjB4POrxng1J",229242449962151,2,45.9,9.85,21.5,31.3
"83",4450,"R_qVCnJhMYPvHRTjz",229321437701161,2,21.2,4.26,20.3,24.6
"84",4452,"R_2e5tMsjqS8r894Q",229242449962154,2,16.9,3.21,19.8,23
"85",4500,"R_1cYyqwuVjx1HrFm",230469411957892,2,30.8,6.79,22,28.8
"86",4500,"R_1FET35ZNzpaPbdF",229678093261955,2,30.8,6.79,22,28.8
"87",4528,"R_3gXFwb5Rj3GeayC",229242450017359,2,14.8,3.35,23.2,26.6
"88",4553,"R_YVse2xBKz1KBkEF",229242449960046,2,31.2,6.79,21.8,28.6
"89",4562,"R_2EzrxrOnJkcxDmK",229410207386675,2,15.9,3.58,23.2,26.8
"90",4600,"R_2xRFAHf3m984KjF",229937963274473,2,28.4,6.56,23.1,29.6
"91",4600,"R_3jd276FCkxUx0jk",229242449955883,2,28.4,6.56,23.1,29.6
"92",4702,"R_1rMMLys7a9QDlKp",229937963154540,2,1.23,0.3,24.4,24.8
"93",4704,"R_3KHlnf4QUvxSqJv",229321437668352,2,34.6,6.55,21.5,28
"94",4800,"R_0GLAzLpKzb2dj0t",229410206607464,2,42.4,8.99,21.2,30.2
"95",4802,"R_2Y9WhVvkCDyq3KU",229758453882067,2,42,8.99,21.4,30.4
"96",4852,"R_3dWXqIgiMohp3v6",229321437858830,2,62.6,12.8,20.5,33.3
"97",4917,"R_1dyNNy7i0IogXjW",229321438291162,2,17.7,4,23.9,27.9
"98",4950,"R_2QX1hhnet3fuiW3",229321437763714,2,73.2,16.4,22.4,38.8
"99",4954,"R_3JedFD408eCUXoU",229321438291163,2,1.19,0.3,25.2,25.5
"100",5012,"R_1i3WThj1PPLv7sg",229321438164192,2,38,8.76,23.1,31.8
"101",5018,"R_WetzP6sCYnlwhs5",229256171672827,2,25.4,5.51,21.7,27.2
"102",5024,"R_1MS46DkDMSuh1PA",229321437515815,2,25.4,5.51,21.7,27.2
"103",5210,"R_1LuhzYh0vCqcqBC",229242449972339,2,89.8,18.9,21.1,40
"104",5242,"R_2SoeQbtedg9U7A9",229321438210114,2,18.8,3.89,20.6,24.5
"105",5412,"R_3D2zYtpdbhtT6vH",229166416657657,2,36.3,7.53,20.8,28.3
"106",5415,"R_1FsrFDQpo9ZXqH5",229678093212685,2,26.9,5.59,20.8,26.4
"107",5415,"R_bkklTWAEx4yeNhL",229242449966332,2,26.9,5.59,20.8,26.4
"108",5430,"R_Dk5989wZHXlEzct",229166416656617,2,62.7,12.2,19.5,31.8
"109",5430,"R_2riOlz6GykyQOSK",229242449960052,2,62.7,12.2,19.5,31.8
"110",5430,"R_3dG2OSaM6IKem2B",229678093102160,2,62.7,12.2,19.5,31.8
"111",5442,"R_3Jx6MbfEXTvKxDI",229242449961112,2,38.6,7,18.1,25.1
"112",5507,"R_1dH1iYOib9kW6Yk",229678093228064,2,41.6,7.1,17.1,24.2
"113",5524,"R_1QlrekUmzTk0Wbq",229321438363760,2,41.5,6.5,15.7,22.2
"114",5610,"R_9Yp1rttWTLA5JjX",229678093198559,2,34.2,6.89,20.1,27
"115",5612,"R_3JdS6G2oeyURtlh",229256171575321,2,49.6,10.5,21.1,31.5
"116",5621,"R_TnJKPfSngzfmYhj",229256171636877,2,98.4,16.5,16.8,33.3
"117",5623,"R_1F95ZqBmJuJUOkw",230469411958921,2,47.3,8.02,16.9,25
"118",5707,"R_sZ5hFn2aGEar5K1",229256171671793,2,24.3,4.92,20.2,25.1
"119",5722,"R_21adMr6FTICq8w7",229410206775296,2,37.1,7.8,21,28.8
"120",5722,"R_3HFoTLJEFC5wC4x",229678093166682,2,37.1,7.8,21,28.8
"121",5722,"R_2ghsWopwxNyadTb",229758454236304,2,37.1,7.8,21,28.8
"122",5734,"R_1pFFiHfQdEkz93a",229678093414635,2,25.8,4.4,17.1,21.5
"123",6000,"R_2eWgxkI1ZcLlACS",229256171818133,2,32.7,6.8,20.8,27.6
"124",6003,"R_2qlSogoBK0vIz2z",229678093384755,2,32.7,6.8,20.8,27.6
"125",6010,"R_aeM2kI1j8xc8YzT",229242449957957,2,31.3,6.52,20.8,27.4
"126",6010,"R_1o59gPx3PeNGzjI",229410206629043,2,31.3,6.52,20.8,27.4
"127",6015,"R_1PdvSyRjroeuRch",229242449982562,2,32.7,6.8,20.8,27.6
"128",6020,"R_1DSURcJvOpaPjL4",229410206632128,2,39.1,8.1,20.7,28.8
"129",6020,"R_2DOdBo6U9ALFufg",229242450019449,2,39.1,8.1,20.7,28.8
"130",6023,"R_1n1JzBYizsP8rTM",229256171660490,2,39.4,8.16,20.7,28.8
"131",6030,"R_1jZcZ1S8MccWXlw",229937963399296,2,39.4,8.16,20.7,28.8
"132",6038,"R_331IDX0zbNRfPC5",229678093162569,2,39.4,8.16,20.7,28.8
"133",6045,"R_3O0UASSJuVz1wKV",229678093438137,2,38.9,8.1,20.8,28.9
"134",6048,"R_3GpNBQ5CgxNdsMz",229678093165654,2,39,8.1,20.8,28.9
"135",6074,"R_3D8h1NrjCM66rpq",229678093212684,2,39.2,8.39,21.4,29.8
"136",6122,"R_1K41lGNotMQuaYo",229321438312457,2,39.4,8.16,20.7,28.8
"137",6130,"R_3KpGGIpTCeV26Qq",229410206664732,2,56.1,11.1,19.9,31
"138",6132,"R_Ybr1hoXT0OQo277",229242450035926,2,56.1,11.1,19.9,31
"139",6207,"R_cUssRwZ7X6KVAKR",229678093138135,2,39.4,8.16,20.7,28.8
"140",6243,"R_2YKwMWQVUVMr2UE",229410207207669,2,39.4,8.16,20.7,28.8
"141",6247,"R_3gL5PLi3c3Tyn7l",229256171707512,2,39.4,8.16,20.7,28.8
"142",6285,"R_1BnkeWb8Yt6wKJz",229166416660547,2,39.4,8.16,20.7,28.8
"143",6300,"R_2q2wBpEDDTOLQAr",229678093358306,2,39.8,8.34,20.9,29.3
"144",6300,"R_3KTwRSPp3KkukEt",229678093184174,2,39.8,8.34,20.9,29.3
"145",6330,"R_2X4FuYhXmC8ywIK",229256171743437,2,38.8,8.39,21.6,30
"146",6340,"R_1jxnsKE1PsOW2ud",229242449956923,2,41.9,9.16,22,31.2
"147",6343,"R_ujE7f07IK4OOVxf",229256171601985,2,39.8,8.34,20.9,29.3
"148",6370,"R_31gXaeWDD8YXO0m",229166416663673,2,4.26,0.8,18.8,19.6
"149",6403,"R_Cf4IWwVU2VjiRI5",229678093098051,2,104,21.2,20.4,41.6
"150",6403,"R_11Xg8JyRKok3DIm",229256171609167,2,104,21.2,20.4,41.6
"151",6422,"R_2m0qE3DQhkw5quZ",229242449966328,2,14.9,3.23,21.7,25
"152",6460,"R_2V8sidAyrLfM799",230469411964067,2,33.9,7.77,22.9,30.7
"153",6460,"R_xhgwIdsmKhptaSZ",229678093312036,2,33.9,7.77,22.9,30.7
"154",6465,"R_31szBB0IAUEKR80",230469411984631,2,33.9,7.77,22.9,30.7
"155",6600,"R_30jwO1Q51T1Oqua",229678093115531,2,18.3,4.52,24.7,29.2
"156",6950,"R_3GvpTnsgO0dN7v3",229937962964147,2,24,5.58,23.3,28.9
"157",6982,"R_3hxUPG9N0GYg3od",229937963133014,2,32.2,6.94,21.6,28.5
"158",7000,"R_vrkRIv7sYwaMm09",229242449959017,2,18.7,3.99,21.3,25.3
"159",7233,"R_3Kwkto5OYOMGaGx",229678093236281,2,11.1,2.8,25.3,28.1
"160",7250,"R_1j7oxMkWVP5NSpt",229410207373567,2,11.8,2.8,23.8,26.6
"161",7402,"R_1KjR9tFAM9YeB0x",229256171712646,2,32.5,6.98,21.5,28.5
"162",8001,"R_xaojQs1GzLg4Tol",229242449957965,2,4.14,0.89,21.5,22.4
"163",8001,"R_1Y2iKkxsibQMHVD",229321437941882,2,4.14,0.89,21.5,22.4
"164",8002,"R_3lQDx1cB3wc76j8",229242449975493,2,4.14,0.89,21.5,22.4
"165",8003,"R_3MG5FAqJxElwWok",229321437541463,2,4.14,0.89,21.5,22.4
"166",8004,"R_1LFmb4Bx13gTnD3",230469411954784,2,4.14,0.89,21.5,22.4
"167",8004,"R_2dWss8mIevBNbql",229242449956910,2,4.14,0.89,21.5,22.4
"168",8005,"R_3eagtAH5SJ1436B",229410207311898,2,4.14,0.89,21.5,22.4
"169",8006,"R_uwVUl5YWIGbnhiF",229937963517143,2,4.14,0.89,21.5,22.4
"170",8037,"R_tWWP8sTyFYX40tH",229678093439181,2,4.14,0.89,21.5,22.4
"171",8037,"R_2WAJRrWbWwkXh4E",229321438376071,2,4.14,0.89,21.5,22.4
"172",8041,"R_2YmNX6Oye45BteD",229678093252715,2,4.14,0.89,21.5,22.4
"173",8046,"R_2rAZ1Ka3wuVKPBW",229410206693467,2,4.14,0.89,21.5,22.4
"174",8046,"R_4GWm9Ta9Kjzy2E9",229410206780427,2,4.14,0.89,21.5,22.4
"175",8047,"R_26f1OmYAyKKQTeV",229678093313064,2,4.14,0.89,21.5,22.4
"176",8048,"R_TjiLF7QjzZx58Ax",229410206856398,2,4.14,0.89,21.5,22.4
"177",8048,"R_3mAe9TEtmdbknbb",229166416662637,2,4.14,0.89,21.5,22.4
"178",8049,"R_2dg3EfUOU09B5o4",229256171951214,2,4.14,0.89,21.5,22.4
"179",8049,"R_1JFb2GboLo58HzV",229242449965295,2,4.14,0.89,21.5,22.4
"180",8050,"R_2zx96JsJgGlf2Gl",229937963436224,2,4.14,0.89,21.5,22.4
"181",8050,"R_sA7Re0aES3EZ7vH",230296024624230,2,4.14,0.89,21.5,22.4
"182",8052,"R_uwsz0gXGHX7JS5b",229321437554799,2,4.14,0.89,21.5,22.4
"183",8057,"R_3mjBG4EWOAh2zPn",229166416659499,2,4.14,0.89,21.5,22.4
"184",8108,"R_1rP3xwHOfSB3Xfm",229242449970265,2,28.1,4.8,17.1,21.9
"185",8122,"R_1QrwLMIn7K2GhNN",229321438287057,2,28.1,4.8,17.1,21.9
"186",8132,"R_2XiIXFvRQQWAgP4",229242449955882,2,28.1,4.8,17.1,21.9
"187",8152,"R_268x0qErskNtjpo",229410206658574,2,20,3.87,19.3,23.2
"188",8152,"R_3nDcGHwLMBdULri",229242449969217,2,20,3.87,19.3,23.2
"189",8152,"R_12LqzQngtlo94Le",229321438315541,2,20,3.87,19.3,23.2
"190",8153,"R_3rGtK5dTnqFVCjc",229678093415665,2,55.2,10.7,19.4,30.1
"191",8180,"R_3O3nOZtgpHg6gaK",229256171962526,2,28.1,4.8,17.1,21.9
"192",8180,"R_3nouJkI0EPchv0K",229242449968175,2,28.1,4.8,17.1,21.9
"193",8180,"R_1cTvFzZh8rAXZLM",229410206789674,2,28.1,4.8,17.1,21.9
"194",8182,"R_UfM3vqPCw8zV58l",229410207341703,2,28.1,4.8,17.1,21.9
"195",8185,"R_22zBwIlTw6hKf92",229242449964248,2,28.1,4.8,17.1,21.9
"196",8187,"R_263IFUYHOUdE9SR",229678093381679,2,76.7,15.3,20,35.3
"197",8193,"R_29uhdl1Vw2SydD1",229242449960057,2,28.1,4.8,17.1,21.9
"198",8193,"R_1g8sB1oxmSUbqac",229321437575305,2,28.1,4.8,17.1,21.9
"199",8197,"R_2VEBV1FZqbQzJh9",229166416662627,2,28.1,4.8,17.1,21.9
"200",8200,"R_2EudHnKol1N7utZ",229321438308355,2,26.9,5.35,19.9,25.2
"201",8212,"R_pMXDxYiOWN0mZAB",229256171567352,2,24.2,4.75,19.6,24.4
"202",8222,"R_3oTxjZRLervWm86",229410206924938,2,24.2,4.75,19.6,24.4
"203",8222,"R_3018SSHXTKbMgat",229242449967117,2,24.2,4.75,19.6,24.4
"204",8248,"R_2fx5TdeHZkzu7SR",229166416667863,2,28.1,4.8,17.1,21.9
"205",8302,"R_Rkm2OIdJcP6tieZ",229242449956909,2,71.9,13,18,31
"206",8304,"R_2s56lo4tG3fLjIQ",229256171644062,2,35.3,6.92,19.6,26.5
"207",8311,"R_27xmPUAjYoTlGbO",229410206643426,2,28.1,4.8,17.1,21.9
"208",8340,"R_3rNS3W6jWnb4XA4",229256171582508,2,28.1,4.8,17.1,21.9
"209",8355,"R_3Pq4dwxmvP7IV7W",229678093298939,2,37.2,7.4,20.1,27.5
"210",8356,"R_2TXIK6VleUaA37H",229242450014215,2,37.2,7.4,20.1,27.5
"211",8405,"R_2WCGRS3itljeTiz",229321437547620,2,30.3,6.57,21.7,28.2
"212",8427,"R_2t673KXh7dRiqrM",229678093260930,2,28.1,4.8,17.1,21.9
"213",8444,"R_RFtxxKxqDaFLHtT",229678093440221,2,28.1,4.8,17.1,21.9
"214",8450,"R_RCgfxvMaSTFEMEx",229256171741387,2,0.87,0.11,12.7,12.8
"215",8451,"R_3fpDyJOpJ1Eg7nH",229758454231173,2,28.1,4.8,17.1,21.9
"216",8500,"R_2RaD1qLsjvheOt2",229678093111417,2,51.3,11.1,21.7,32.8
"217",8500,"R_3m32qTstvhmJ84V",229758454067427,2,51.3,11.1,21.7,32.8
"218",8542,"R_1OOwSBX7GRf44TF",229256171733167,2,28.1,4.8,17.1,21.9
"219",8546,"R_DvGNooOqCLbTfUt",229242450009233,2,53.2,11.3,21.2,32.5
"220",8552,"R_2492pCKHqf5dlKi",229678093372428,2,42.6,8.08,19,27
"221",8570,"R_2YSB2Ar1L0afUeM",229166416665777,2,23.2,5.13,22.1,27.3
"222",8572,"R_3lPRoXD0peSUgP1",229678093275314,2,21.3,4.11,19.3,23.4
"223",8580,"R_2QYGfMYzAouv17p",229321438289110,2,72,16.3,22.7,39
"224",8590,"R_efXCEpWlSglm0g1",229242449956912,2,12.9,2.32,17.9,20.3
"225",8595,"R_1QcuoKglTc1aR2c",230469411967151,2,14.5,2.82,19.5,22.3
"226",8600,"R_AG05TbDyvhvnphD",229678093386810,2,35.1,6.81,19.4,26.2
"227",8600,"R_22re08dv5zyt3zy",229256171552970,2,35.1,6.81,19.4,26.2
"228",8610,"R_3FRKYX9SsnpvlPA",229256171770896,2,60.5,10.9,18,28.9
"229",8623,"R_1l0RIyAa9CP5bzP",229256171658438,2,44.8,9.05,20.2,29.3
"230",8625,"R_BremVIKM3Mz3PEJ",229242449982547,2,32.2,5.76,18.2,23.9
"231",8630,"R_Wc9R39yolT7MThT",230469411962007,2,33.6,6.2,18.5,24.7
"232",8632,"R_1MK61RcnsRnWNLS",229321437739104,2,31.8,5.5,17.3,22.8
"233",8634,"R_1fd2J5yU5aMILdN",229321437584534,2,28.1,4.8,17.1,21.9
"234",8702,"R_27dSC2bMDR9Y5Nq",229678093170793,2,30,6.14,20.4,26.6
"235",8703,"R_2S2hLsZH1WfTg51",229256171968702,2,32.6,6.54,20,26.6
"236",8712,"R_28CZFXMZNeee8Tb",229410207337591,2,52,8.77,16.8,25.6
"237",8730,"R_1oqkBndhcpDZMqi",227471450957862,2,26.6,6.03,22.6,28.7
"238",8762,"R_1rq6oBNP3dfuJSh",229256171676680,2,9.56,1.9,19.9,21.8
"239",8800,"R_3gYIjoJuMp5WMCS",229410207067333,2,28.1,4.8,17.1,21.9
"240",8803,"R_RrWEqa504IT11n3",229758453883093,2,28.1,4.8,17.1,21.9
"241",8805,"R_2uyAjmplIniR3LB",229410206981135,2,28.1,4.8,17.1,21.9
"242",8868,"R_3nHJa8W4XzoQbm4",229410206798905,2,41.4,9.55,23.1,32.6
"243",8880,"R_RFF8tBoS3es1VRf",230296025317508,2,31.6,6.5,20.6,27.1
"244",8903,"R_1LFH0LOWi9Yz49r",229758453932074,2,28.1,4.8,17.1,21.9
"245",8932,"R_3J8CArQnsceZPxX",229256171870273,2,28.1,4.8,17.1,21.9
"246",8952,"R_ToAwS1lLBvXxWW5",229321438098546,2,28.1,4.8,17.1,21.9
"247",8954,"R_1Cl2SebPQbOFhuz",229256171549895,2,28.1,4.8,17.1,21.9
"248",8957,"R_2AFo5duAc0IHQXg",229937963228341,2,56.1,9.3,16.6,25.9
"249",9000,"R_3pik33O5ERDcnHu",229321437509656,2,27.5,5.88,21.4,27.2
"250",9000,"R_1F97pVdAYa0AR1X",229321438387356,2,27.5,5.88,21.4,27.2
"251",9000,"R_2ZOLtO5eQcxaywi",229256171630718,2,27.5,5.88,21.4,27.2
"252",9008,"R_zZhGQuBwm9PKEEh",229256171950188,2,27.5,5.88,21.4,27.2
"253",9011,"R_1esHTNUUBMqaFT4",229758454221926,2,27.5,5.88,21.4,27.2
"254",9016,"R_1Eh4vp1pfF8GFJb",229321438343251,2,27.5,5.88,21.4,27.2
"255",9055,"R_2e8zf4yA6aADPCx",229321437583507,2,31.8,6.44,20.3,26.7
"256",9100,"R_3Qy41xx43VBVI2J",229678093284551,2,31.8,6.44,20.3,26.7
"257",9100,"R_1mn6nqlgVzfC7By",229321437507604,2,31.8,6.44,20.3,26.7
"258",9100,"R_1LexZBYJhPpiZjV",229242449960063,2,31.8,6.44,20.3,26.7
"259",9103,"R_O6yvEF2xIRQ495D",229410206609516,2,29.9,5.84,19.6,25.5
"260",9113,"R_3KSHZzbgYF0hmWN",229678093435043,2,33,6.85,20.8,27.6
"261",9127,"R_3soja05ifxsWkQq",229166416666812,2,19.8,4.19,21.2,25.4
"262",9240,"R_22LmAhnuYngmKbY",229678093101134,2,29.2,5.62,19.2,24.8
"263",9244,"R_1gznfQwU0vN5Ydh",229678093431933,2,30.3,6.44,21.3,27.7
"264",9320,"R_9MQsh0tELQM4X1T",229242449961107,2,7.53,1.74,23.1,24.9
"265",9400,"R_3QQyZQp3jw4DK0T",229166416689292,2,16.2,3.57,22,25.6
"266",9435,"R_3exXU5InBRQRN4u",229256171776032,2,62.5,11.2,17.9,29.1
"267",9442,"R_1DHhLExORVUMSTn",229256171569156,2,22.1,5.03,22.7,27.8
"268",9444,"R_XMrlfKuFlmyYBMd",229937963303953,2,32.5,7.04,21.6,28.7
"269",9450,"R_21u3i7hJZiGF7q8",229256171709564,2,31.2,6.72,21.6,28.3
"270",9452,"R_2vZhhzJLS8XEt1K",229678093381676,2,41.9,7.55,18,25.6
"271",9469,"R_3KJHMzL3J7PD1Ha",229937963317277,2,40,8.82,22.4,31.3
"272",9470,"R_BWhUQvzCcNKa6Fb",229410206636238,2,51.2,10.4,20.4,30.8
"273",9470,"R_2wt1y2Xbl9pcLpW",229678093404309,2,51.2,10.4,20.4,30.8
"274",9507,"R_xDXbvT4HcZ1WQaB",229321437719617,2,7.15,1.47,20.6,22
"275",9514,"R_Dq0pgiK5mRsKU81",229321438104706,2,1.77,0.32,18.1,18.4
"276",9526,"R_2w7AymsBq0kFlRS",229256171907291,2,212,38.8,18.3,57.1
"277",9535,"R_9XKo56LagUvx42d",229678093331563,2,13.4,3.42,25.5,28.9
"278",9552,"R_2OTsX0VoE5sGvbN",229256171556050,2,59,12.1,20.8,32.9
"279",9630,"R_3hg7VuBZdF9ke2k",229758453977189,2,48.5,10.3,21.3,31.7
