"","m","wave","country","gender","age","income.wave1","income.wave2","education","numeracy.f","error.diff.f","mean.abs.error","mean.est.bias"
"37",229166066803864,"wave1","Germany","male",67,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",0.648,0.469
"38",229166066803864,"wave2","Germany","male",67,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",0.543,0.14
"39",229166066809875,"wave1","Germany","female",64,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.304,-0.172
"40",229166066809875,"wave2","Germany","female",64,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.619,-0.19
"41",229166066821130,"wave1","Germany","female",36,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.361,-0.164
"42",229166066821130,"wave2","Germany","female",36,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.333,0.0508
"43",229166066823206,"wave1","Germany","female",19,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.602,0.56
"44",229166066823206,"wave2","Germany","female",19,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.97,-0.824
"45",229166066833639,"wave1","Germany","male",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","no change",0.503,0.167
"46",229166066833639,"wave2","Germany","male",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","no change",0.55,0.0644
"47",229166066833642,"wave1","Germany","male",20,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","increased error",0.561,0.308
"48",229166066833642,"wave2","Germany","male",20,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","increased error",0.87,0.031
"49",229166416656617,"wave1","Switzerland","male",51,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.855,0.855
"50",229166416656617,"wave2","Switzerland","male",51,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.656,0.656
"51",229166416657657,"wave1","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.475,0.195
"52",229166416657657,"wave2","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.53,0.503
"53",229166416658444,"wave1","Switzerland","female",49,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.723,0.66
"54",229166416658444,"wave2","Switzerland","female",49,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.654,0.564
"55",229166416658456,"wave1","Switzerland","male",54,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.761,0.648
"56",229166416658456,"wave2","Switzerland","male",54,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.6,0.473
"57",229166416659487,"wave1","Switzerland","female",77,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","decreased error",0.667,0.648
"58",229166416659487,"wave2","Switzerland","female",77,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","decreased error",0.555,0.0285
"59",229166416659499,"wave1","Switzerland","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","decreased error",0.561,0.395
"60",229166416659499,"wave2","Switzerland","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","decreased error",0.47,0.137
"61",229166416660547,"wave1","Switzerland","female",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.531,0.184
"62",229166416660547,"wave2","Switzerland","female",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.7,0.417
"63",229166416662627,"wave1","Switzerland","male",40,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","no change",0.487,-0.067
"64",229166416662627,"wave2","Switzerland","male",40,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","no change",0.504,-0.208
"65",229166416662637,"wave1","Switzerland","female",40,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","no change",0.726,0.629
"66",229166416662637,"wave2","Switzerland","female",40,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","no change",0.697,-0.257
"67",229166416663673,"wave1","Switzerland","male",42,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy high","decreased error",0.761,0.284
"68",229166416663673,"wave2","Switzerland","male",42,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy high","decreased error",0.347,0.0246
"69",229166416665772,"wave1","Switzerland","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.725,-0.0185
"70",229166416665772,"wave2","Switzerland","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.833,-0.565
"71",229166416665777,"wave1","Switzerland","female",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","decreased error",0.618,0.618
"72",229166416665777,"wave2","Switzerland","female",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","decreased error",0.548,0.352
"73",229166416666812,"wave1","Switzerland","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.539,-0.187
"74",229166416666812,"wave2","Switzerland","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.452,0.167
"75",229166416667853,"wave1","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",1.26,-0.94
"76",229166416667853,"wave2","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",0.72,-0.271
"77",229166416667863,"wave1","Switzerland","female",47,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",1.21,-1.21
"78",229166416667863,"wave2","Switzerland","female",47,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",0.664,0.0857
"79",229166416673876,"wave1","Switzerland","male",45,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.349,0.116
"80",229166416673876,"wave2","Switzerland","male",45,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.528,0.426
"81",229166416689292,"wave1","Switzerland","female",29,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.758,-0.255
"82",229166416689292,"wave2","Switzerland","female",29,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.681,0.364
"83",229242295738451,"wave1","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.742,0.724
"84",229242295738451,"wave2","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.671,0.533
"85",229242295738453,"wave1","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",0.866,-0.521
"86",229242295738453,"wave2","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",0.628,-0.259
"87",229242295738457,"wave1","Germany","male",48,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",0.723,-0.533
"88",229242295738457,"wave2","Germany","male",48,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",0.532,-0.116
"89",229242295738458,"wave1","Germany","male",49,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",0.785,0.785
"90",229242295738458,"wave2","Germany","male",49,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",1,1
"91",229242295739490,"wave1","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",0.482,0.279
"92",229242295739490,"wave2","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",0.725,-0.725
"93",229242295740534,"wave1","Germany","male",76,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.573,-0.458
"94",229242295740534,"wave2","Germany","male",76,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.38,0.16
"95",229242295742617,"wave1","Germany","male",51,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.538,-0.217
"96",229242295742617,"wave2","Germany","male",51,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.721,-0.61
"97",229242295743653,"wave1","Germany","male",66,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.755,-0.755
"98",229242295743653,"wave2","Germany","male",66,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.64,-0.64
"99",229242295744700,"wave1","Germany","male",60,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.764,-0.731
"100",229242295744700,"wave2","Germany","male",60,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.49,-0.0835
"101",229242295744711,"wave1","Germany","female",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.824,-0.721
"102",229242295744711,"wave2","Germany","female",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.436,-0.188
"103",229242295745754,"wave1","Germany","female",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.594,0.261
"104",229242295745754,"wave2","Germany","female",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.536,0.165
"105",229242295746789,"wave1","Germany","male",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.562,-0.522
"106",229242295746789,"wave2","Germany","male",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.489,-0.271
"107",229242295748626,"wave1","Germany","female",66,"<1'500€
<3'100CHF","<1'500- 2'499€
3'100-4'299CHF","degree","numeracy low","decreased error",0.674,-0.413
"108",229242295748626,"wave2","Germany","female",66,"<1'500€
<3'100CHF","<1'500- 2'499€
3'100-4'299CHF","degree","numeracy low","decreased error",0.382,0.0316
"109",229242295749654,"wave1","Germany","male",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",0.359,-0.136
"110",229242295749654,"wave2","Germany","male",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",0.417,0.0473
"111",229242295749656,"wave1","Germany","male",53,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.555,-0.136
"112",229242295749656,"wave2","Germany","male",53,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.603,-0.342
"113",229242295749665,"wave1","Germany","male",42,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.706,0.505
"114",229242295749665,"wave2","Germany","male",42,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.66,-0.48
"115",229242295750704,"wave1","Germany","female",55,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",0.766,-0.0329
"116",229242295750704,"wave2","Germany","female",55,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",1.23,-1.23
"117",229242295750705,"wave1","Germany","female",46,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.575,0.118
"118",229242295750705,"wave2","Germany","female",46,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.516,0.233
"119",229242295752786,"wave1","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.42,0.227
"120",229242295752786,"wave2","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.795,0.702
"121",229242295753826,"wave1","Germany","female",45,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.383,0.0644
"122",229242295753826,"wave2","Germany","female",45,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.322,-0.0762
"123",229242295753832,"wave1","Germany","female",31,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.627,0.0347
"124",229242295753832,"wave2","Germany","female",31,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.65,-0.118
"125",229242295753838,"wave1","Germany","male",69,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","increased error",0.493,0.233
"126",229242295753838,"wave2","Germany","male",69,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","increased error",0.67,0.203
"127",229242295756956,"wave1","Germany","female",45,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.383,0.0448
"128",229242295756956,"wave2","Germany","female",45,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",1.33,-1.33
"129",229242295759045,"wave1","Germany","female",44,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","no change",0.595,0.336
"130",229242295759045,"wave2","Germany","female",44,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","no change",0.606,0.422
"131",229242295761139,"wave1","Germany","male",51,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","no change",0.645,-0.499
"132",229242295761139,"wave2","Germany","male",51,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","no change",0.637,-0.487
"133",229242295765044,"wave1","Germany","male",44,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",1.41,-1.41
"134",229242295765044,"wave2","Germany","male",44,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.833,-0.833
"135",229242295766090,"wave1","Germany","female",26,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","decreased error",1.74,-1.74
"136",229242295766090,"wave2","Germany","female",26,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","decreased error",0.839,-0.457
"137",229242295766095,"wave1","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",0.458,-0.0791
"138",229242295766095,"wave2","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",0.67,-0.0329
"139",229242295775457,"wave1","Germany","female",38,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","increased error",1.05,-1.05
"140",229242295775457,"wave2","Germany","female",38,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","increased error",1.37,-1.37
"141",229242295779354,"wave1","Germany","female",55,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.707,0.674
"142",229242295779354,"wave2","Germany","female",55,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.651,0.632
"143",229242295779358,"wave1","Germany","male",33,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.399,0.102
"144",229242295779358,"wave2","Germany","male",33,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.492,-0.446
"145",229242295780393,"wave1","Germany","female",30,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.743,-0.115
"146",229242295780393,"wave2","Germany","female",30,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",1.06,-0.313
"147",229242295787687,"wave1","Germany","male",50,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","no formal education","numeracy high","increased error",0.31,-0.0131
"148",229242295787687,"wave2","Germany","male",50,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","no formal education","numeracy high","increased error",0.728,-0.501
"149",229242295791846,"wave1","Germany","male",39,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy high","decreased error",0.654,0.521
"150",229242295791846,"wave2","Germany","male",39,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy high","decreased error",0.549,0.0316
"151",229242295796801,"wave1","Germany","male",29,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","no change",0.587,-0.291
"152",229242295796801,"wave2","Germany","male",29,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","no change",0.585,-0.406
"153",229242295798887,"wave1","Germany","female",61,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",0.472,0.418
"154",229242295798887,"wave2","Germany","female",61,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","increased error",0.612,0.579
"155",229242295804087,"wave1","Germany","male",31,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy high","increased error",0.513,-0.423
"156",229242295804087,"wave2","Germany","male",31,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy high","increased error",0.579,0.257
"157",229242295805140,"wave1","Germany","male",24,"<1'500€
<3'100CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.884,0.42
"158",229242295805140,"wave2","Germany","male",24,"<1'500€
<3'100CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.442,0.0706
"159",229242295811148,"wave1","Germany","female",43,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.469,-0.0485
"160",229242295811148,"wave2","Germany","female",43,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.883,0.864
"161",229242295822351,"wave1","Germany","female",39,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","decreased error",0.598,0.0231
