"","m","wave","country","gender","age","income.wave1","income.wave2","education","numeracy.f","error.diff.f","mean.abs.error","mean.est.bias"
"37",229166066780393,"wave1","Germany","male",57,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",1.01,-1.01
"38",229166066780393,"wave2","Germany","male",57,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",0.486,-0.393
"39",229166066780404,"wave1","Germany","female",72,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.528,0.0622
"40",229166066780404,"wave2","Germany","female",72,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.466,0.124
"41",229166066782222,"wave1","Germany","male",29,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","increased error",0.574,-0.0082
"42",229166066782222,"wave2","Germany","male",29,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","increased error",0.689,-0.0323
"43",229166066786390,"wave1","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.579,-0.382
"44",229166066786390,"wave2","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.434,-0.233
"45",229166066788467,"wave1","Germany","male",56,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",0.441,-0.136
"46",229166066788467,"wave2","Germany","male",56,"2'500- 4'000€
<4'300- 5'899CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",1.21,-1.1
"47",229166066788475,"wave1","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.689,-0.543
"48",229166066788475,"wave2","Germany","male",60,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","increased error",0.872,-0.872
"49",229166066789519,"wave1","Germany","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.561,-0.289
"50",229166066789519,"wave2","Germany","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.585,-0.553
"51",229166066790561,"wave1","Germany","female",33,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.451,-0.0116
"52",229166066790561,"wave2","Germany","female",33,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.671,-0.00153
"53",229166066792658,"wave1","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","no change",0.803,-0.304
"54",229166066792658,"wave2","Germany","male",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","no change",0.808,-0.431
"55",229166066799696,"wave1","Germany","male",41,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.754,-0.0648
"56",229166066799696,"wave2","Germany","male",41,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","no change",0.799,0.799
"57",229166066803864,"wave1","Germany","male",67,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",0.648,0.469
"58",229166066803864,"wave2","Germany","male",67,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","decreased error",0.543,0.14
"59",229166066809875,"wave1","Germany","female",64,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.304,-0.172
"60",229166066809875,"wave2","Germany","female",64,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy high","increased error",0.619,-0.19
"61",229166066809882,"wave1","Germany","female",24,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","decreased error",1.17,-1.17
"62",229166066809882,"wave2","Germany","female",24,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","no formal education","numeracy low","decreased error",0.87,-0.87
"63",229166066821130,"wave1","Germany","female",36,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.361,-0.164
"64",229166066821130,"wave2","Germany","female",36,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","obligatory school","numeracy low","no change",0.333,0.0508
"65",229166066823206,"wave1","Germany","female",19,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.602,0.56
"66",229166066823206,"wave2","Germany","female",19,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.97,-0.824
"67",229166066831553,"wave1","Germany","female",37,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.709,-0.49
"68",229166066831553,"wave2","Germany","female",37,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.535,0.0928
"69",229166066833642,"wave1","Germany","male",20,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","increased error",0.561,0.308
"70",229166066833642,"wave2","Germany","male",20,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy high","increased error",0.87,0.031
"71",229166416656617,"wave1","Switzerland","male",51,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.855,0.855
"72",229166416656617,"wave2","Switzerland","male",51,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.656,0.656
"73",229166416657415,"wave1","Switzerland","male",42,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","degree","numeracy low","increased error",0.792,0.658
"74",229166416657415,"wave2","Switzerland","male",42,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","degree","numeracy low","increased error",0.969,0.969
"75",229166416657657,"wave1","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.475,0.195
"76",229166416657657,"wave2","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.53,0.503
"77",229166416658444,"wave1","Switzerland","female",49,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.723,0.66
"78",229166416658444,"wave2","Switzerland","female",49,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","decreased error",0.654,0.564
"79",229166416658456,"wave1","Switzerland","male",54,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.761,0.648
"80",229166416658456,"wave2","Switzerland","male",54,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.6,0.473
"81",229166416659499,"wave1","Switzerland","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","decreased error",0.561,0.395
"82",229166416659499,"wave2","Switzerland","male",60,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","degree","numeracy low","decreased error",0.47,0.137
"83",229166416659503,"wave1","Switzerland","female",28,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.774,-0.703
"84",229166416659503,"wave2","Switzerland","female",28,"> 4'000€
>5'900 CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",1.12,-0.271
"85",229166416660547,"wave1","Switzerland","female",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.531,0.184
"86",229166416660547,"wave2","Switzerland","female",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.7,0.417
"87",229166416661577,"wave1","Switzerland","female",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.726,0.717
"88",229166416661577,"wave2","Switzerland","female",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","degree","numeracy low","increased error",0.983,0.983
"89",229166416661595,"wave1","Switzerland","male",26,"<1'500- 2'499€
3'100-4'299CHF","> 4'000€
>5'900 CHF","no formal education","numeracy low","no change",1.04,1.04
"90",229166416661595,"wave2","Switzerland","male",26,"<1'500- 2'499€
3'100-4'299CHF","> 4'000€
>5'900 CHF","no formal education","numeracy low","no change",1.04,-1.04
"91",229166416662627,"wave1","Switzerland","male",40,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","no change",0.487,-0.067
"92",229166416662627,"wave2","Switzerland","male",40,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","no change",0.504,-0.208
"93",229166416662637,"wave1","Switzerland","female",40,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","no change",0.726,0.629
"94",229166416662637,"wave2","Switzerland","female",40,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","no change",0.697,-0.257
"95",229166416663673,"wave1","Switzerland","male",42,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy high","decreased error",0.761,0.284
"96",229166416663673,"wave2","Switzerland","male",42,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy high","decreased error",0.347,0.0246
"97",229166416665772,"wave1","Switzerland","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.725,-0.0185
"98",229166416665772,"wave2","Switzerland","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.833,-0.565
"99",229166416665777,"wave1","Switzerland","female",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","decreased error",0.618,0.618
"100",229166416665777,"wave2","Switzerland","female",56,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy high","decreased error",0.548,0.352
"101",229166416666812,"wave1","Switzerland","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.539,-0.187
"102",229166416666812,"wave2","Switzerland","male",25,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","decreased error",0.452,0.167
"103",229166416667853,"wave1","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",1.26,-0.94
"104",229166416667853,"wave2","Switzerland","female",39,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",0.72,-0.271
"105",229166416667863,"wave1","Switzerland","female",47,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",1.21,-1.21
"106",229166416667863,"wave2","Switzerland","female",47,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy low","decreased error",0.664,0.0857
"107",229166416673876,"wave1","Switzerland","male",45,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.349,0.116
"108",229166416673876,"wave2","Switzerland","male",45,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","degree","numeracy high","increased error",0.528,0.426
"109",229166416689292,"wave1","Switzerland","female",29,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.758,-0.255
"110",229166416689292,"wave2","Switzerland","female",29,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","middle school","numeracy low","decreased error",0.681,0.364
"111",229242295738445,"wave1","Germany","male",53,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.527,-0.37
"112",229242295738445,"wave2","Germany","male",53,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.69,-0.592
"113",229242295738451,"wave1","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.742,0.724
"114",229242295738451,"wave2","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.671,0.533
"115",229242295738453,"wave1","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",0.866,-0.521
"116",229242295738453,"wave2","Germany","male",63,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",0.628,-0.259
"117",229242295738457,"wave1","Germany","male",48,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",0.723,-0.533
"118",229242295738457,"wave2","Germany","male",48,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","decreased error",0.532,-0.116
"119",229242295738458,"wave1","Germany","male",49,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",0.785,0.785
"120",229242295738458,"wave2","Germany","male",49,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","increased error",1,1
"121",229242295739490,"wave1","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",0.482,0.279
"122",229242295739490,"wave2","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy high","increased error",0.725,-0.725
"123",229242295740534,"wave1","Germany","male",76,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.573,-0.458
"124",229242295740534,"wave2","Germany","male",76,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.38,0.16
"125",229242295740540,"wave1","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.72,0.646
"126",229242295740540,"wave2","Germany","female",59,"<1'500- 2'499€
3'100-4'299CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",1.1,-1.1
"127",229242295741568,"wave1","Germany","female",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.831,-0.477
"128",229242295741568,"wave2","Germany","female",57,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.535,0.478
"129",229242295741575,"wave1","Germany","female",58,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.523,-0.195
"130",229242295741575,"wave2","Germany","female",58,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.461,-0.39
"131",229242295742617,"wave1","Germany","male",51,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.538,-0.217
"132",229242295742617,"wave2","Germany","male",51,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","increased error",0.721,-0.61
"133",229242295742618,"wave1","Germany","male",52,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","no change",0.72,-0.368
"134",229242295742618,"wave2","Germany","male",52,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","middle school","numeracy low","no change",0.76,-0.225
"135",229242295742621,"wave1","Germany","male",35,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",1.55,-1.55
"136",229242295742621,"wave2","Germany","male",35,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","middle school","numeracy high","decreased error",0.806,-0.806
"137",229242295743653,"wave1","Germany","male",66,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.755,-0.755
"138",229242295743653,"wave2","Germany","male",66,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","decreased error",0.64,-0.64
"139",229242295743656,"wave1","Germany","male",41,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy high","no change",0.407,-0.36
"140",229242295743656,"wave2","Germany","male",41,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy high","no change",0.455,-0.408
"141",229242295743657,"wave1","Germany","male",54,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.799,-0.631
"142",229242295743657,"wave2","Germany","male",54,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.42,-0.0308
"143",229242295743670,"wave1","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",0.708,-0.48
"144",229242295743670,"wave2","Germany","male",37,"<1'500- 2'499€
3'100-4'299CHF","2'500- 4'000€
<4'300- 5'899CHF","no formal education","numeracy low","increased error",1.02,-0.771
"145",229242295744695,"wave1","Germany","female",42,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.662,-0.594
"146",229242295744695,"wave2","Germany","female",42,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",0.749,-0.733
"147",229242295744697,"wave1","Germany","female",55,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",0.68,0.158
"148",229242295744697,"wave2","Germany","female",55,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","increased error",1.58,-1.58
"149",229242295744700,"wave1","Germany","male",60,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.764,-0.731
"150",229242295744700,"wave2","Germany","male",60,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","obligatory school","numeracy low","decreased error",0.49,-0.0835
"151",229242295744711,"wave1","Germany","female",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.824,-0.721
"152",229242295744711,"wave2","Germany","female",37,"<1'500- 2'499€
3'100-4'299CHF","<1'500- 2'499€
3'100-4'299CHF","middle school","numeracy low","decreased error",0.436,-0.188
"153",229242295745745,"wave1","Germany","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","no formal education","numeracy low","decreased error",0.921,-0.921
"154",229242295745745,"wave2","Germany","male",33,"2'500- 4'000€
<4'300- 5'899CHF","> 4'000€
>5'900 CHF","no formal education","numeracy low","decreased error",0.413,-0.23
"155",229242295745754,"wave1","Germany","female",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.594,0.261
"156",229242295745754,"wave2","Germany","female",34,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","middle school","numeracy low","decreased error",0.536,0.165
"157",229242295746787,"wave1","Germany","male",52,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",0.626,-0.549
"158",229242295746787,"wave2","Germany","male",52,"> 4'000€
>5'900 CHF","> 4'000€
>5'900 CHF","obligatory school","numeracy low","increased error",1.29,-1.29
"159",229242295746789,"wave1","Germany","male",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.562,-0.522
"160",229242295746789,"wave2","Germany","male",59,"<1'500€
<3'100CHF","<1'500€
<3'100CHF","no formal education","numeracy low","decreased error",0.489,-0.271
"161",229242295747839,"wave1","Germany","female",47,"2'500- 4'000€
<4'300- 5'899CHF","2'500- 4'000€
<4'300- 5'899CHF","obligatory school","numeracy low","increased error",1.3,-1.3
