"","wave","m","type","energy.level","price.level","age","gender","education","income.wave1","country","politcalorientation","Sum.policy.wave1","mean.abs.error.wave1","Sum.product","climate_concern.wave1","income.wave2","mean.abs.error.wave2","Sum.policy.wave2","Sum.product.wave2","climate_concern.wave2","choice","concern.scaled","mean.error_scaled","income"
"11","wave1",227471319859447,"exp.low_che.int","1","2",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"12","wave1",227471319859447,"exp.low_mid.hig","2","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"13","wave1",227471319859447,"mid.low_che.hig","2","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"14","wave1",227471319859447,"mid.low_che.int","1","1",64,"female","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,4,0.421,1,6,"<1'500€
<3'100CHF",0.526,4,1,6,0,1.2375,-0.974520481043898,"<1'500- 2'499€
3'100-4'299CHF"
"15","wave1",227471450945619,"exp.int_che.hig","1","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"16","wave1",227471450945619,"exp.int_mid.hig","1","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"17","wave1",227471450945619,"exp.low_che.hig","2","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"18","wave1",227471450945619,"exp.low_che.int","1","2",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,0,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"19","wave1",227471450945619,"exp.low_mid.hig","2","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"20","wave1",227471450945619,"mid.low_che.hig","2","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"21","wave1",227471450945619,"mid.low_che.int","1","1",57,"female","degree","> 4'000€
>5'900 CHF","Switzerland",4,9,0.499,6,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.458,13,3,5,1,0.4875,-0.694172575478408,"> 4'000€
>5'900 CHF"
"22","wave1",227471450957862,"exp.int_che.hig","1","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"23","wave1",227471450957862,"exp.int_mid.hig","1","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"24","wave1",227471450957862,"exp.low_che.hig","2","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"25","wave1",227471450957862,"exp.low_che.int","1","2",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"26","wave1",227471450957862,"exp.low_mid.hig","2","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,1,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"27","wave1",227471450957862,"mid.low_che.hig","2","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"28","wave1",227471450957862,"mid.low_che.int","1","1",41,"female","no formal education","> 4'000€
>5'900 CHF","Switzerland",4,0,1.74,1,3,"2'500- 4'000€
<4'300- 5'899CHF",1.08,4,0,5,0,-1.7625,3.76623448614688,"> 4'000€
>5'900 CHF"
"29","wave1",229166066768913,"exp.int_che.hig","1","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"30","wave1",229166066768913,"exp.int_mid.hig","1","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"31","wave1",229166066768913,"exp.low_che.hig","2","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"32","wave1",229166066768913,"exp.low_che.int","1","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"33","wave1",229166066768913,"exp.low_mid.hig","2","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,1,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"34","wave1",229166066768913,"mid.low_che.hig","2","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"35","wave1",229166066768913,"mid.low_che.int","1","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,"2'500- 4'000€
<4'300- 5'899CHF",0.589,8,4,5.5,0,0.2375,-0.230520270120098,"2'500- 4'000€
<4'300- 5'899CHF"
"36","wave1",229166066768915,"exp.int_che.hig","1","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"37","wave1",229166066768915,"exp.int_mid.hig","1","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"38","wave1",229166066768915,"exp.low_che.hig","2","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"39","wave1",229166066768915,"exp.low_che.int","1","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"40","wave1",229166066768915,"exp.low_mid.hig","2","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,1,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"41","wave1",229166066768915,"mid.low_che.hig","2","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"42","wave1",229166066768915,"mid.low_che.int","1","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,"<1'500- 2'499€
3'100-4'299CHF",0.569,7,4,4.75,0,-0.0125000000000002,-0.442578301252969,"<1'500- 2'499€
3'100-4'299CHF"
"43","wave1",229166066769952,"exp.int_che.hig","1","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"44","wave1",229166066769952,"exp.int_mid.hig","1","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"45","wave1",229166066769952,"exp.low_che.hig","2","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"46","wave1",229166066769952,"exp.low_che.int","1","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"47","wave1",229166066769952,"exp.low_mid.hig","2","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"48","wave1",229166066769952,"mid.low_che.hig","2","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"49","wave1",229166066769952,"mid.low_che.int","1","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,"<1'500- 2'499€
3'100-4'299CHF",0.545,5,6,2.75,1,-0.7625,0.384088599773475,"<1'500- 2'499€
3'100-4'299CHF"
"50","wave1",229166066770991,"exp.int_che.hig","1","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,0,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"51","wave1",229166066770991,"exp.int_mid.hig","1","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,1,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"52","wave1",229166066770991,"exp.low_che.hig","2","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,0,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"53","wave1",229166066770991,"exp.low_che.int","1","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,0,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"54","wave1",229166066770991,"exp.low_mid.hig","2","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,1,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"55","wave1",229166066770991,"mid.low_che.hig","2","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,1,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"56","wave1",229166066770991,"mid.low_che.int","1","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,"<1'500- 2'499€
3'100-4'299CHF",1.3,4,5,4,0,0.2375,0.887277148224354,"<1'500- 2'499€
3'100-4'299CHF"
"57","wave1",229166066770993,"exp.int_che.hig","1","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"58","wave1",229166066770993,"exp.int_mid.hig","1","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"59","wave1",229166066770993,"exp.low_che.hig","2","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"60","wave1",229166066770993,"exp.low_che.int","1","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"61","wave1",229166066770993,"exp.low_mid.hig","2","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"62","wave1",229166066770993,"mid.low_che.hig","2","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"63","wave1",229166066770993,"mid.low_che.int","1","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,"2'500- 4'000€
<4'300- 5'899CHF",0.397,5,5,5.5,1,0.4875,-1.07156398681657,"2'500- 4'000€
<4'300- 5'899CHF"
"64","wave1",229166066770995,"exp.int_che.hig","1","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"65","wave1",229166066770995,"exp.int_mid.hig","1","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"66","wave1",229166066770995,"exp.low_che.hig","2","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"67","wave1",229166066770995,"exp.low_che.int","1","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"68","wave1",229166066770995,"exp.low_mid.hig","2","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"69","wave1",229166066770995,"mid.low_che.hig","2","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"70","wave1",229166066770995,"mid.low_che.int","1","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,"<1'500- 2'499€
3'100-4'299CHF",1.66,12,0,4.25,1,-0.0125000000000002,2.79579942842019,"2'500- 4'000€
<4'300- 5'899CHF"
"71","wave1",229166066770996,"exp.int_che.hig","1","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,0,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"72","wave1",229166066770996,"exp.int_mid.hig","1","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,0,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"73","wave1",229166066770996,"exp.low_che.hig","2","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,0,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"74","wave1",229166066770996,"exp.low_che.int","1","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,0,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"75","wave1",229166066770996,"exp.low_mid.hig","2","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,0,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"76","wave1",229166066770996,"mid.low_che.hig","2","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,1,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"77","wave1",229166066770996,"mid.low_che.int","1","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,"<1'500€
<3'100CHF",0.523,9,1,6,1,1.2375,-0.0364332585747593,"<1'500€
<3'100CHF"
"78","wave1",229166066772029,"exp.int_che.hig","1","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"79","wave1",229166066772029,"exp.int_mid.hig","1","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,1,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"80","wave1",229166066772029,"exp.low_che.hig","2","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"81","wave1",229166066772029,"exp.low_che.int","1","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"82","wave1",229166066772029,"exp.low_mid.hig","2","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"83","wave1",229166066772029,"mid.low_che.hig","2","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"84","wave1",229166066772029,"mid.low_che.int","1","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,"> 4'000€
>5'900 CHF",0.73,11,7,6,0,1.2375,0.21516101565068,"> 4'000€
>5'900 CHF"
"85","wave1",229166066772032,"exp.int_che.hig","1","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"86","wave1",229166066772032,"exp.int_mid.hig","1","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"87","wave1",229166066772032,"exp.low_che.hig","2","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"88","wave1",229166066772032,"exp.low_che.int","1","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"89","wave1",229166066772032,"exp.low_mid.hig","2","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"90","wave1",229166066772032,"mid.low_che.hig","2","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"91","wave1",229166066772032,"mid.low_che.int","1","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,"> 4'000€
>5'900 CHF",0.417,10,0,2.75,0,-1.2625,-1.23689736702186,"2'500- 4'000€
<4'300- 5'899CHF"
"92","wave1",229166066774127,"exp.int_che.hig","1","2",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,"2'500- 4'000€
<4'300- 5'899CHF",0.728,8,5,6,1,0.2375,-0.942172645786341,"2'500- 4'000€
<4'300- 5'899CHF"
"93","wave1",229166066774127,"exp.int_mid.hig","1","1",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,"2'500- 4'000€
<4'300- 5'899CHF",0.728,8,5,6,1,0.2375,-0.942172645786341,"2'500- 4'000€
<4'300- 5'899CHF"
"94","wave1",229166066774127,"exp.low_che.hig","2","2",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,"2'500- 4'000€
<4'300- 5'899CHF",0.728,8,5,6,1,0.2375,-0.942172645786341,"2'500- 4'000€
<4'300- 5'899CHF"
