"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2"
"11",229166066770996,923,"R_eQGtapLFAf1IMTv","female","Germany","<1'500€
<3'100CHF","no formal education",1,4,11389,"R_1gSAD3TrXCoKAP8",56,"<1'500€
<3'100CHF"
"12",229166066772029,1290,"R_3gUFyQf7Rr82fjq","male","Germany","> 4'000€
>5'900 CHF","middle school",4,2,1555,"R_xsifixdM2f3FCTf",43,"> 4'000€
>5'900 CHF"
"13",229166066772032,955,"R_2U4PlWg8c50p8eU","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1992,"R_OHz0Pqln4SpsteV",51,"> 4'000€
>5'900 CHF"
"14",229166066774127,514,"R_aV36R7kJhEmeyyd","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,671,"R_1eVHrT71kd11atG",37,"2'500- 4'000€
<4'300- 5'899CHF"
"15",229166066775173,693,"R_1cUttmhVO5YA2hl","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,6,1641,"R_oY2EItjnjxzqhYR",24,"<1'500- 2'499€
3'100-4'299CHF"
"16",229166066778296,1123,"R_3gXXt1W2K8Pos3x","female","Germany","> 4'000€
>5'900 CHF","middle school",2,5,1239,"R_1Frcm9brNvhVz0E",59,"> 4'000€
>5'900 CHF"
"17",229166066778304,1477,"R_1C4wdUlbfbQ1hML","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,3,1453,"R_8hNT7jXVSBb9qhP",70,"<1'500- 2'499€
3'100-4'299CHF"
"18",229166066778312,1299,"R_BywDqqxLxP5MOLD","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,3,1503,"R_3Oq241l7XqxA9WE",64,"2'500- 4'000€
<4'300- 5'899CHF"
"19",229166066780393,956,"R_2AYaEaBun0p5kaC","male","Germany","> 4'000€
>5'900 CHF","obligatory school",2,8,1028,"R_1Oq34eyVcqNOov1",57,"> 4'000€
>5'900 CHF"
"20",229166066780404,1365,"R_3ke5ZDJpQBX1C0j","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1497,"R_1IGfF1abpdkWhLy",72,"2'500- 4'000€
<4'300- 5'899CHF"
"21",229166066782222,1295,"R_21aXH4qkpWoMUfc","male","Germany","<1'500- 2'499€
3'100-4'299CHF","degree",2,5,1439,"R_1I6MKxO41jAt15N",29,"2'500- 4'000€
<4'300- 5'899CHF"
"22",229166066786390,876,"R_2VdofypBJBuhz1H","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1868,"R_1LUJuqInfZjP2R8",60,"2'500- 4'000€
<4'300- 5'899CHF"
"23",229166066788467,915,"R_wMLudDlqiyZgrTP","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,8,789,"R_1IT6KwLp3K88KU6",56,"<1'500- 2'499€
3'100-4'299CHF"
"24",229166066788475,639,"R_WfbcOa4R3TKEukN","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,6,855,"R_eUJ7b0qtFajcHiF",60,"> 4'000€
>5'900 CHF"
"25",229166066789519,481,"R_2EEuiLLUQlAKcEz","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,382,"R_ZKQs1KphaxQxIbf",25,"<1'500- 2'499€
3'100-4'299CHF"
"26",229166066790561,957,"R_3haa92gLJ7b3TlA","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,7,1137,"R_1P5chxMcINlG3fJ",33,"2'500- 4'000€
<4'300- 5'899CHF"
"27",229166066792658,1235,"R_DAy13Qg9X0yju5b","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1520,"R_2ZQvMICyBHJJC25",57,"<1'500€
<3'100CHF"
"28",229166066799696,2921,"R_2e8rPRQ3Tf6hpC0","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,5,939,"R_3Pe0emppqE6grrU",41,"<1'500- 2'499€
3'100-4'299CHF"
"29",229166066803864,1514,"R_2cBDYRcdwlr6tJe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",3,4,2083,"R_10xEptLaoi40BlX",67,"2'500- 4'000€
<4'300- 5'899CHF"
"30",229166066809875,5059,"R_3iwZiFBbukhyafr","female","Germany","<1'500€
<3'100CHF","middle school",1,5,2803,"R_6s6crm2aG0TsoBr",64,"<1'500€
<3'100CHF"
"31",229166066809882,311,"R_2txmnVLQNoVL3lA","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,394,"R_2afTzFOww0h9R2E",24,"<1'500- 2'499€
3'100-4'299CHF"
"32",229166066821130,1319,"R_2BnFF7O0UemP6bn","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,4,829,"R_1KXEGN3b38r2ypb",36,"<1'500- 2'499€
3'100-4'299CHF"
"33",229166066823206,1602,"R_3iD1T8NlCZIuSSn","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,1437,"R_wKMS5f4HdQYL8Zj",19,"2'500- 4'000€
<4'300- 5'899CHF"
"34",229166066831553,648,"R_1o73oJZeSvsMGPn","female","Germany","> 4'000€
>5'900 CHF","middle school",2,6,1161,"R_ugDYeh2JMMg4YWB",37,"> 4'000€
>5'900 CHF"
"35",229166066833642,598,"R_cTN0cTJ7C5jMipr","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",4,7,730,"R_2S8EuuoWZ1zlEUd",20,"2'500- 4'000€
<4'300- 5'899CHF"
"36",229166416656617,3847,"R_ujLqmiC73EyREFX","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,8,1101,"R_Dk5989wZHXlEzct",51,"> 4'000€
>5'900 CHF"
"37",229166416657415,1139,"R_3PwamN8jceqdARM","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","degree",4,9,1008,"R_OEbN0TJRgvWtOql",42,"<1'500- 2'499€
3'100-4'299CHF"
"38",229166416657657,812,"R_1rHAC97MaIFeZQs","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,4,1633,"R_3D2zYtpdbhtT6vH",39,"> 4'000€
>5'900 CHF"
"39",229166416658444,874,"R_3fAW9A9PUOTPSRY","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,7,1417,"R_1mltiMTeFeXLWJB",49,"> 4'000€
>5'900 CHF"
"40",229166416658456,5555,"R_332rHLTBzW4o52Y","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,5,3480,"R_Z9rUDwY108FGHgR",54,"2'500- 4'000€
<4'300- 5'899CHF"
"41",229166416659499,9971,"R_3qpx95XzcwMK7Id","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",1,4,6417,"R_3mjBG4EWOAh2zPn",60,"2'500- 4'000€
<4'300- 5'899CHF"
"42",229166416659503,520,"R_tJPLG6kTOxcN3P3","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",1,6,321,"R_3Rr9e9PygX6lMCt",28,"2'500- 4'000€
<4'300- 5'899CHF"
"43",229166416660547,8076,"R_2qyee8RYNHe83N3","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,8,1610,"R_1BnkeWb8Yt6wKJz",59,"<1'500€
<3'100CHF"
"44",229166416661577,1118,"R_2zZplKpn7tOOwbb","female","Switzerland","<1'500€
<3'100CHF","degree",2,7,958,"R_RkTFWzS6jlgvMrf",57,"<1'500€
<3'100CHF"
"45",229166416661595,339,"R_3HZXQEqTEPPcrCv","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,468,"R_21mI02FOGglKo1o",26,"> 4'000€
>5'900 CHF"
"46",229166416662627,763,"R_pbbiWuR68CLd12V","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,6,15418,"R_2VEBV1FZqbQzJh9",40,"> 4'000€
>5'900 CHF"
"47",229166416662637,1916,"R_ZFcYjQPti4GmnId","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,5,1480,"R_3mAe9TEtmdbknbb",40,"<1'500€
<3'100CHF"
"48",229166416663673,1506,"R_3EGccqupxv5YC29","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,3,1124,"R_31gXaeWDD8YXO0m",42,"> 4'000€
>5'900 CHF"
"49",229166416665772,993,"R_279DrW8COJ7EWg9","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",3,5,781,"R_1GHQl4ynOuXKsoJ",33,"> 4'000€
>5'900 CHF"
"50",229166416665777,1092,"R_1okjaSmNIcl4O4y","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",1,4,1164,"R_2YSB2Ar1L0afUeM",56,"2'500- 4'000€
<4'300- 5'899CHF"
"51",229166416666812,686,"R_3GfFGdrjJRUqybx","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,1093,"R_3soja05ifxsWkQq",25,"<1'500- 2'499€
3'100-4'299CHF"
"52",229166416667853,1251,"R_3KSWg37wet3GUTw","female","Switzerland","> 4'000€
>5'900 CHF","degree",1,3,1446,"R_3m7AJOItrFHHcFB",39,"> 4'000€
>5'900 CHF"
"53",229166416667863,1381,"R_1FQVElWKrunBigd","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,1374,"R_2fx5TdeHZkzu7SR",47,"> 4'000€
>5'900 CHF"
"54",229166416673876,1505,"R_xfnvdWOK6OtEIBb","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,1080,"R_1Ff7YEINWKKGDH6",45,"> 4'000€
>5'900 CHF"
"55",229166416689292,1696,"R_3QDbKyq8ExtSrh4","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,5,1396,"R_3QQyZQp3jw4DK0T",29,"> 4'000€
>5'900 CHF"
"56",229242295738445,599,"R_2UYiPKnMmRgN6qZ","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,8,1310,"R_28LGrL0mwIjanOl",53,"2'500- 4'000€
<4'300- 5'899CHF"
"57",229242295738451,950,"R_2316XoX4fkvFvf4","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1246,"R_2b4cSi6KufHEXQf",59,"<1'500- 2'499€
3'100-4'299CHF"
"58",229242295738453,1582,"R_2rD5JnSOvonHkaY","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,2126,"R_22y2tZsREaqt265",63,"> 4'000€
>5'900 CHF"
"59",229242295738457,1101,"R_3Emuny9GTE1FmCf","male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,8,945,"R_2dKehFZ6Q0ZuvKP",48,"> 4'000€
>5'900 CHF"
"60",229242295738458,1807,"R_yUWSmPkKkg62fJf","male","Germany","<1'500€
<3'100CHF","middle school",1,3,866,"R_1pF3jLkb5kuiHLt",49,"<1'500€
<3'100CHF"
"61",229242295739490,852,"R_4O7bW4HIAb2vxxT","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,2610,"R_2WTlibDKLH1wBQv",37,"<1'500- 2'499€
3'100-4'299CHF"
"62",229242295740534,1402,"R_3P5N96tlMTxv2SB","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",2,3,2525,"R_SO7m43ZdxE2ch33",76,"<1'500- 2'499€
3'100-4'299CHF"
"63",229242295740540,906,"R_2153UvCoSfAZEmK","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,6,1076,"R_2Vjx3Cn073ZlQyD",59,"<1'500€
<3'100CHF"
"64",229242295741568,1801,"R_2xPg7QoVItFa2ne","female","Germany","<1'500€
<3'100CHF","obligatory school",1,5,1792,"R_1rNhmNjbwZot8So",57,"<1'500€
<3'100CHF"
"65",229242295741575,2703,"R_2ZWZi9cTPxyfyx6","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",2,6,1216,"R_0JNK6I2YBa5L4eR",58,"<1'500- 2'499€
3'100-4'299CHF"
"66",229242295742617,1811,"R_1OktPLDHHWKRHhV","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,3,1557,"R_zdofFPepnmXbyFP",51,"2'500- 4'000€
<4'300- 5'899CHF"
"67",229242295742618,1017,"R_3Jw0ghh6bZfhLaV","male","Germany","<1'500€
<3'100CHF","middle school",1,4,1243,"R_sI3GYuk2zAy5U9X",52,"<1'500€
<3'100CHF"
"68",229242295742621,553,"R_6gHmjtSbwXL0D3r","male","Germany","> 4'000€
>5'900 CHF","middle school",3,9,539,"R_3pfNy659mAf77T5",35,"> 4'000€
>5'900 CHF"
"69",229242295743653,1541,"R_2uOfXbC4McyIpk1","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1612,"R_28G4qPGUAsKipWV",66,"2'500- 4'000€
<4'300- 5'899CHF"
"70",229242295743656,2669,"R_1dtZmWqpoAeMjuq","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,6,8984,"R_XodqhEBYDaYB0GZ",41,"2'500- 4'000€
<4'300- 5'899CHF"
"71",229242295743657,507,"R_12xSA7ZhOZnEVX2","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",2,6,428,"R_2uw9yz4eigkjtvO",54,"<1'500- 2'499€
3'100-4'299CHF"
"72",229242295743670,890,"R_w6MRXWX3QjyB7KF","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,5,1061,"R_2zZpDihwUi4qSDo",37,"2'500- 4'000€
<4'300- 5'899CHF"
"73",229242295744695,247,"R_10AtUJUGZhCk5ng","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,294,"R_27WfeRMBd73Aqa8",42,"2'500- 4'000€
<4'300- 5'899CHF"
"74",229242295744697,771,"R_ehV8GF42KClNBqp","female","Germany","<1'500€
<3'100CHF","obligatory school",2,6,1161,"R_22EzKZ8jrhv5ikv",55,"<1'500€
<3'100CHF"
"75",229242295744700,1672,"R_2ePGhUSWhjV9inV","male","Germany","<1'500€
<3'100CHF","obligatory school",2,5,1803,"R_1QrpE21fw7QXXYu",60,"<1'500€
<3'100CHF"
"76",229242295744711,575,"R_2f7CBh1lJf4ruTO","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,2020,"R_3memv651G9uTAZj",37,"<1'500- 2'499€
3'100-4'299CHF"
"77",229242295745745,760,"R_2aFZCsf96UrGETa","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",4,8,3415,"R_1rer6VEu9uPhqKg",33,"> 4'000€
>5'900 CHF"
"78",229242295745754,650,"R_yDu5FSL1xttI8Ap","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,4,2285,"R_2WHAkr9jjTRTfWF",34,"2'500- 4'000€
<4'300- 5'899CHF"
"79",229242295746787,677,"R_2YSnQ1B93bvgNnO","male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,6,889,"R_3rId04yUDU6H9Ue",52,"> 4'000€
>5'900 CHF"
"80",229242295746789,1488,"R_AomSIyMtDd4sOA1","male","Germany","<1'500€
<3'100CHF","no formal education",2,6,1234,"R_2B4jgxePdmcIg6a",59,"<1'500€
<3'100CHF"
"81",229242295747839,291,"R_yQRiS5iRsb6BeRr","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",5,6,415,"R_333XzxdludLrUH2",47,"2'500- 4'000€
<4'300- 5'899CHF"
"82",229242295748625,1295,"R_2uQWOu9uRIjt5dH","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,6,2229,"R_1IN6hCHI072mZM3",25,"2'500- 4'000€
<4'300- 5'899CHF"
"83",229242295748626,1340,"R_1pXWlt9fDYhaR3c","female","Germany","<1'500€
<3'100CHF","degree",1,5,1778,"R_1PZfkT8XYl42PDz",66,"<1'500- 2'499€
3'100-4'299CHF"
"84",229242295749654,747,"R_2ZBtopiyki2EAhe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,8,840,"R_3257tFfOjV1jKwQ",56,"2'500- 4'000€
<4'300- 5'899CHF"
"85",229242295749656,524,"R_1mRClohcHMkdAdv","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,6,696,"R_XtEy0k8gPjhhQ3f",53,"<1'500- 2'499€
3'100-4'299CHF"
"86",229242295749665,630,"R_O2OqQdFdyDL9OwN","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,3,684,"R_2S16EzuYSfQHKX0",42,"<1'500- 2'499€
3'100-4'299CHF"
"87",229242295750703,1334,"R_ykdH1xwFibBL9bX","male","Germany","<1'500€
<3'100CHF","no formal education",1,5,1660,"R_3KNq7OyzY0LbqU6",30,"<1'500- 2'499€
3'100-4'299CHF"
"88",229242295750704,956,"R_3meiD2BanwaGxyW","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,1340,"R_bmdU5AFsEXGtKqB",55,"2'500- 4'000€
<4'300- 5'899CHF"
"89",229242295750705,777,"R_Q9A5nzfd3fY5DsB","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,5,978,"R_xsZKooKsEADYt8d",46,"2'500- 4'000€
<4'300- 5'899CHF"
"90",229242295751744,939,"R_0j0zAq6VQ3vdScp","male","Germany","> 4'000€
>5'900 CHF","middle school",4,6,852,"R_3n1R19NUDl9sDMH",46,"> 4'000€
>5'900 CHF"
"91",229242295752786,627,"R_40dNrMPFaOtEmbL","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,597,"R_Re625Ooz0OYFtXb",63,"> 4'000€
>5'900 CHF"
"92",229242295752791,1402,"R_27WPtaUNfo36sRF","female","Germany","<1'500€
<3'100CHF","no formal education",2,6,1653,"R_YPvw2kLOGumRTG1",63,"<1'500- 2'499€
3'100-4'299CHF"
"93",229242295753826,1683,"R_3lGjzJeCRnEeWYp","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,4,1648,"R_2v0yEORbEoaCcvW",45,"2'500- 4'000€
<4'300- 5'899CHF"
"94",229242295753827,649,"R_2qdP1m3VKpXIEnI","female","Germany","> 4'000€
>5'900 CHF","degree",5,8,765,"R_3n1RK4siLZl1Z4K",67,"> 4'000€
>5'900 CHF"
"95",229242295753830,406,"R_1ghIcrFKPqGRZ2X","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,6,562,"R_3HNwPeQnaDZc3om",38,"<1'500- 2'499€
3'100-4'299CHF"
"96",229242295753832,2025,"R_d1lzcWcat1nY2jL","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",5,7,2545,"R_2PcWpDYMkGdiWuA",31,"<1'500- 2'499€
3'100-4'299CHF"
"97",229242295753838,1895,"R_AHYq3fKkaHCcbWF","male","Germany","<1'500€
<3'100CHF","no formal education",2,5,1684,"R_2cnEXR8WCTUWKDw",69,"<1'500€
<3'100CHF"
"98",229242295753844,621,"R_2c1xu1yXOgGD30y","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,3,895,"R_0pu0FH42yF3mlGx",33,"2'500- 4'000€
<4'300- 5'899CHF"
"99",229242295754881,655,"R_2TFBYNYkwtAx87s","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,10,1444,"R_2CjGES6fZi6L8qp",31,"2'500- 4'000€
<4'300- 5'899CHF"
"100",229242295754886,1122,"R_7QxctqQp54ZoKqJ","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,8,1518,"R_2xKs5ghlz6LAfp0",61,"2'500- 4'000€
<4'300- 5'899CHF"
"101",229242295755912,286,"R_3KVGiJQpMt3d7AH","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,6,567,"R_vuTAroWZWl71juF",31,"<1'500- 2'499€
3'100-4'299CHF"
"102",229242295755913,391,"R_1Kg5qeNMfpEcIVD","male","Germany","<1'500€
<3'100CHF","no formal education",1,4,450,"R_2aEkHya9dgxTbur",42,"<1'500€
<3'100CHF"
"103",229242295756956,1510,"R_56ZOo15E4R2qzOF","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,5,3851,"R_2SHzrbVeMibq1Gl",45,"2'500- 4'000€
<4'300- 5'899CHF"
"104",229242295758007,1169,"R_25WOrBlo5iU7RHg","female","Germany","<1'500€
<3'100CHF","no formal education",3,6,3316,"R_3CCMyHaSgcSVvmK",46,"<1'500€
<3'100CHF"
"105",229242295758012,663,"R_2CWHyt8sRRjB7NC","male","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",1,6,854,"R_1IpgGeW9HhtlACQ",26,"<1'500- 2'499€
3'100-4'299CHF"
"106",229242295759045,1454,"R_3EF4W42AP3JqbNQ","female","Germany","<1'500€
<3'100CHF","middle school",3,5,2268,"R_2woYgEWJfj0UZPI",44,"<1'500€
<3'100CHF"
"107",229242295759052,1548,"R_1l3SKw0bM70iegj","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1855,"R_3DXC76trfhr0SVb",63,"<1'500- 2'499€
3'100-4'299CHF"
"108",229242295760085,1321,"R_1F4GZVhw7a8fion","male","Germany","> 4'000€
>5'900 CHF","no formal education",3,7,1486,"R_1NeszvRVjcwUTlR",67,"> 4'000€
>5'900 CHF"
"109",229242295760097,524,"R_3jdnQRghXarRH6Q","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,3,734,"R_241qtOHjIALghwT",48,"<1'500- 2'499€
3'100-4'299CHF"
"110",229242295761139,833,"R_1CdA8mHseMZSYAc","male","Germany","<1'500€
<3'100CHF","middle school",1,5,2028,"R_sziDyRIyZS2XPAR",51,"<1'500€
<3'100CHF"
"111",229242295765044,368,"R_3smrwM5ZrCpylBz","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",1,7,549,"R_27jyk5bJ7c5tTIw",44,"2'500- 4'000€
<4'300- 5'899CHF"
"112",229242295766083,2862,"R_3GoztoHsxpKssWb","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",2,5,12525,"R_1obhGxLMCpTIdSk",46,"<1'500- 2'499€
3'100-4'299CHF"
"113",229242295766086,685,"R_51DcTUyimhghJ3X","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,5,744,"R_31iyCv9npdvftbe",55,"2'500- 4'000€
<4'300- 5'899CHF"
"114",229242295766090,1540,"R_2wEo5iQXCYves2K","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,5,1364,"R_2DSan3zt5JS8l9P",26,"<1'500- 2'499€
3'100-4'299CHF"
"115",229242295766095,1313,"R_1QN6OUxkKwgceLu","male","Germany","<1'500€
<3'100CHF","middle school",1,5,1952,"R_5urbZCQJoc2Yv7j",57,"<1'500€
<3'100CHF"
"116",229242295770258,1020,"R_27W1NFJXInLwDZw","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,7,785,"R_307T5nH5VTePCcQ",26,"<1'500- 2'499€
3'100-4'299CHF"
"117",229242295770261,962,"R_1LXokuPGQSIS5q7","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,6,1281,"R_1cXHLVK8t7cHa0m",43,"<1'500- 2'499€
3'100-4'299CHF"
"118",229242295771292,8345,"R_sBRhT5IY9zTJcTn","female","Germany","<1'500€
<3'100CHF","no formal education",2,5,509,"R_bO5eg0KDGHZAEPT",25,"<1'500€
<3'100CHF"
"119",229242295775457,7394,"R_3fW33TCtP6kVx1T","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,5,1459,"R_1QltThrqzdt4ppe",38,"2'500- 4'000€
<4'300- 5'899CHF"
"120",229242295779354,1519,"R_2tbx3LZrOJsIeSD","female","Germany","> 4'000€
>5'900 CHF","middle school",3,5,1567,"R_3HRXDzTH4lYxD57",55,"> 4'000€
>5'900 CHF"
"121",229242295779358,2919,"R_dcG4YHz0cKrEHO9","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,7,839,"R_zZ23lmI7gsSWtLr",33,"2'500- 4'000€
<4'300- 5'899CHF"
"122",229242295780393,861,"R_stgdPaExzIsFfRT","female","Germany","> 4'000€
>5'900 CHF","middle school",4,5,868,"R_elmKlkvTJ0sBMPf",30,"2'500- 4'000€
<4'300- 5'899CHF"
"123",229242295781433,494,"R_1jH468tY1ENzp5M","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,7,324,"R_2QrYmgKm6XNKWRB",34,"<1'500- 2'499€
3'100-4'299CHF"
"124",229242295784565,1418,"R_e3t1oiFNAPt3wWt","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",4,6,2035,"R_10rBm2LP3WvDjrS",61,"2'500- 4'000€
<4'300- 5'899CHF"
"125",229242295787687,1168,"R_DeJW28g6uMydLeF","male","Germany","> 4'000€
>5'900 CHF","no formal education",4,7,1312,"R_2dztNeIeNilgZSd",50,"> 4'000€
>5'900 CHF"
"126",229242295791846,760,"R_2dmTN9FJIaj61fb","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",4,6,696,"R_2aGDROz7N2AxH8J",39,"2'500- 4'000€
<4'300- 5'899CHF"
"127",229242295796801,293,"R_1kOBGI4XPIWWLy6","male","Germany","> 4'000€
>5'900 CHF","obligatory school",2,6,467,"R_sM5369cj2ZAYOsN",29,"> 4'000€
>5'900 CHF"
