"","ResponseId","m","Sum","gender","country","education","household_size","Duration.wave2","age","income.wave2","Minutes.wave2","Minutes","climate_concern","concern.scaled","exp.low_che.int","exp.low_che.hig","exp.low_mid.hig","exp.int_che.hig","exp.int_mid.hig","mid.low_che.int","mid.low_che.hig","percent"
"11","R_10qL1CUVhegrTOE",229678093213710,1,"male","Switzerland","degree",2,1104,69,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",3,-1.64014423076923,0,0,1,0,0,0,0,0.142857142857143
"12","R_10r8rAWRBrcfRNn",229242295831746,0,"male","Germany","middle school",2,1450,67,"2'500- 4'000€
<4'300- 5'899CHF",24,"okay",4,-0.640144230769231,0,0,0,0,0,0,0,0
"13","R_10rBm2LP3WvDjrS",229242295784565,4,"female","Germany","no formal education",4,2035,61,"2'500- 4'000€
<4'300- 5'899CHF",33,"okay",5.75,1.10985576923077,0,1,1,0,1,0,1,0.571428571428571
"14","R_10rCK8WbpwFbUPC",229409893585116,0,"male","Germany","middle school",2,2258,69,"2'500- 4'000€
<4'300- 5'899CHF",37,"okay",5.75,1.10985576923077,0,0,0,0,0,0,0,0
"15","R_10vpxEibiT7gCBK",229320605951130,4,"male","Germany","middle school",2,1130,21,"2'500- 4'000€
<4'300- 5'899CHF",18,"speeder",4.5,-0.140144230769231,0,1,1,0,1,0,1,0.571428571428571
"16","R_10xEptLaoi40BlX",229166066803864,7,"male","Germany","no formal education",3,2083,67,"2'500- 4'000€
<4'300- 5'899CHF",34,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"17","R_10YKMXaROKCQv0m",229320605959214,7,"male","Germany","obligatory school",2,340,21,"<1'500- 2'499€
3'100-4'299CHF",5,"speeder",3.75,-0.890144230769231,1,1,1,1,1,1,1,1
"18","R_10ZbpT2snlVjOtf",229409893572855,1,"female","Germany","degree",2,3083,64,"> 4'000€
>5'900 CHF",51,"okay",6,1.35985576923077,0,0,1,0,0,0,0,0.142857142857143
"19","R_11Xg8JyRKok3DIm",229256171609167,5,"male","Switzerland","degree",4,1733,47,"> 4'000€
>5'900 CHF",28,"okay",5.25,0.609855769230769,0,1,1,0,1,1,1,0.714285714285714
"20","R_125z4QSS6ryRVDw",229256171673852,2,"male","Switzerland","degree",2,373,29,"> 4'000€
>5'900 CHF",6,"speeder",4.5,-0.140144230769231,0,0,1,0,0,0,1,0.285714285714286
"21","R_128Yrk2hM6RVtn2",229677069834245,2,"male","Germany","obligatory school",2,2335,55,"2'500- 4'000€
<4'300- 5'899CHF",38,"okay",1.5,-3.14014423076923,0,0,1,0,0,0,1,0.285714285714286
"22","R_12EXkLuWI7zwqvD",229255657957600,3,"female","Germany","degree",2,1879,54,"> 4'000€
>5'900 CHF",31,"okay",4.5,-0.140144230769231,0,1,1,0,0,0,1,0.428571428571429
"23","R_12fHiuDKnfCHBwJ",229855352002681,1,"female","Germany","degree",3,954,60,"> 4'000€
>5'900 CHF",15,"speeder",5.25,0.609855769230769,0,0,0,0,1,0,0,0.142857142857143
"24","R_12FvkBHjq90xjcH",229410207402117,7,"male","Switzerland","degree",4,938,45,"> 4'000€
>5'900 CHF",15,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"25","R_12heOL3PzIhXWro",229321437514789,4,"male","Switzerland","obligatory school",1,3452,41,"<1'500€
<3'100CHF",57,"okay",4,-0.640144230769231,0,0,1,0,1,1,1,0.571428571428571
"26","R_12LqzQngtlo94Le",229321438315541,6,"male","Switzerland","obligatory school",3,1350,35,"> 4'000€
>5'900 CHF",22,"okay",3.75,-0.890144230769231,1,1,1,0,1,1,1,0.857142857142857
"27","R_12ncLRlhWhSi4HC",229255658003638,3,"male","Germany","middle school",4,6672,40,"2'500- 4'000€
<4'300- 5'899CHF",111,"okay",4.75,0.109855769230769,0,0,1,0,1,0,1,0.428571428571429
"28","R_12nepXyOEnwLAif",229255657936996,2,"female","Germany","middle school",1,775,22,"<1'500- 2'499€
3'100-4'299CHF",12,"okay",4,-0.640144230769231,0,0,1,0,0,0,1,0.285714285714286
"29","R_12rpjjaAH22b0AL",229255657970831,6,"female","Germany","obligatory school",2,438,29,"2'500- 4'000€
<4'300- 5'899CHF",7,"speeder",1.75,-2.89014423076923,1,1,1,1,0,1,1,0.857142857142857
"30","R_12sVgKODDmKQl7T",229320605950078,4,"male","Germany","degree",1,1813,25,"<1'500- 2'499€
3'100-4'299CHF",30,"okay",6,1.35985576923077,0,1,1,0,1,0,1,0.571428571428571
"31","R_1BnkeWb8Yt6wKJz",229166416660547,5,"female","Switzerland","obligatory school",1,1610,59,"<1'500€
<3'100CHF",26,"okay",4.5,-0.140144230769231,0,1,1,1,1,0,1,0.714285714285714
"32","R_1Bw9BeGQL8DHYUF",229409893573885,1,"male","Germany","no formal education",4,652,38,"> 4'000€
>5'900 CHF",10,"speeder",1.75,-2.89014423076923,0,0,1,0,0,0,0,0.142857142857143
"33","R_1C12fULwd6sARNr",229410206611574,0,"male","Switzerland","degree",2,1060,52,"2'500- 4'000€
<4'300- 5'899CHF",17,"okay",5,0.359855769230769,0,0,0,0,0,0,0,0
"34","R_1C4mhyAltGnXD7Q",229409893552237,0,"male","Germany","middle school",2,1434,70,"2'500- 4'000€
<4'300- 5'899CHF",23,"okay",6,1.35985576923077,0,0,0,0,0,0,0,0
"35","R_1CdKX4DlM73wmnq",229242449965297,5,"male","Switzerland","obligatory school",4,3442,68,"> 4'000€
>5'900 CHF",57,"okay",5.75,1.10985576923077,0,1,1,1,1,0,1,0.714285714285714
"36","R_1CDtcasg4X1f5aA",229409893566606,0,"male","Germany","no formal education",3,1001,67,"> 4'000€
>5'900 CHF",16,"okay",1.5,-3.14014423076923,0,0,0,0,0,0,0,0
"37","R_1CDUlzZa5Xoqq1P",229242449969221,0,"male","Switzerland","degree",4,1252,51,"2'500- 4'000€
<4'300- 5'899CHF",20,"okay",3.25,-1.39014423076923,0,0,0,0,0,0,0,0
"38","R_1CeTcMn0lbUzusP",229410207421640,3,"male","Switzerland","degree",2,749,35,"> 4'000€
>5'900 CHF",12,"okay",4.75,0.109855769230769,0,0,1,0,1,1,0,0.428571428571429
"39","R_1CevVXtsMkU9MWT",229678093114502,5,"female","Switzerland","obligatory school",2,2240,69,"<1'500- 2'499€
3'100-4'299CHF",37,"okay",6,1.35985576923077,0,1,1,0,1,1,1,0.714285714285714
"40","R_1CftvhEnlM7DryY",229409893611678,3,"male","Germany","obligatory school",3,737,33,"2'500- 4'000€
<4'300- 5'899CHF",12,"okay",2.5,-2.14014423076923,0,0,1,0,1,0,1,0.428571428571429
"41","R_1CjS9gr2pSxsjzJ",229409893622879,5,"female","Germany","degree",2,2352,69,"> 4'000€
>5'900 CHF",39,"okay",6,1.35985576923077,0,1,1,1,1,0,1,0.714285714285714
"42","R_1CkdNoOv8qkxuic",229242449979409,6,"male","Switzerland","no formal education",3,386,52,"> 4'000€
>5'900 CHF",6,"speeder",6,1.35985576923077,1,1,1,1,1,0,1,0.857142857142857
"43","R_1Cl2SebPQbOFhuz",229256171549895,3,"male","Switzerland","degree",1,999,39,"> 4'000€
>5'900 CHF",16,"okay",5.75,1.10985576923077,0,0,1,0,0,1,1,0.428571428571429
"44","R_1cTvFzZh8rAXZLM",229410206789674,2,"female","Switzerland","middle school",2,1389,30,"> 4'000€
>5'900 CHF",23,"okay",3.25,-1.39014423076923,0,0,1,0,0,1,0,0.285714285714286
"45","R_1CxeBJIPtyQYT9Z",229320605938847,3,"male","Germany","middle school",4,1051,50,"<1'500- 2'499€
3'100-4'299CHF",17,"okay",4.75,0.109855769230769,1,0,1,0,0,0,1,0.428571428571429
"46","R_1cXHLVK8t7cHa0m",229242295770261,3,"female","Germany","obligatory school",2,1281,43,"<1'500- 2'499€
3'100-4'299CHF",21,"okay",5.5,0.859855769230769,0,0,0,0,1,1,1,0.428571428571429
"47","R_1cYyqwuVjx1HrFm",230469411957892,3,"male","Switzerland","obligatory school",2,2535,73,"2'500- 4'000€
<4'300- 5'899CHF",42,"okay",5.25,0.609855769230769,0,0,1,0,1,0,1,0.428571428571429
"48","R_1DC5nrZ8uUaZwqY",229678093154327,6,"male","Switzerland","degree",1,1528,41,"2'500- 4'000€
<4'300- 5'899CHF",25,"okay",5,0.359855769230769,1,1,1,0,1,1,1,0.857142857142857
"49","R_1dE6NYfYNv1AkqG",229409893578858,7,"female","Germany","obligatory school",3,1016,55,"<1'500- 2'499€
3'100-4'299CHF",16,"okay",1.5,-3.14014423076923,1,1,1,1,1,1,1,1
"50","R_1DG6FuosURnedZn",229409893579884,1,"male","Germany","middle school",3,1055,63,"> 4'000€
>5'900 CHF",17,"okay",2.25,-2.39014423076923,0,0,1,0,0,0,0,0.142857142857143
"51","R_1dGnuEDDeFDb6qd",229409893637217,5,"female","Germany","middle school",3,1480,34,"> 4'000€
>5'900 CHF",24,"okay",3.5,-1.14014423076923,0,1,1,1,1,0,1,0.714285714285714
"52","R_1DGT0qcG0LbYVuv",229409893584063,7,"male","Germany","obligatory school",1,1253,49,"<1'500€
<3'100CHF",20,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"53","R_1dH1iYOib9kW6Yk",229678093228064,7,"female","Switzerland","obligatory school",1,1874,71,"<1'500- 2'499€
3'100-4'299CHF",31,"okay",5.75,1.10985576923077,1,1,1,1,1,1,1,1
"54","R_1DHhLExORVUMSTn",229256171569156,7,"female","Switzerland","no formal education",2,2958,55,"2'500- 4'000€
<4'300- 5'899CHF",49,"okay",5,0.359855769230769,1,1,1,1,1,1,1,1
"55","R_1DIoPFGgJT5Pgew",229677069754516,2,"female","Germany","degree",1,520,66,"> 4'000€
>5'900 CHF",8,"okay",6,1.35985576923077,0,1,0,1,0,0,0,0.285714285714286
"56","R_1dm0mgLEerYlg7d",229678093101130,5,"female","Switzerland","degree",1,3672,42,"2'500- 4'000€
<4'300- 5'899CHF",61,"okay",6,1.35985576923077,0,0,1,1,1,1,1,0.714285714285714
"57","R_1dmY16EZsS4hwK2",229409893563472,6,"male","Germany","obligatory school",3,1180,61,"2'500- 4'000€
<4'300- 5'899CHF",19,"okay",4.5,-0.140144230769231,0,1,1,1,1,1,1,0.857142857142857
"58","R_1dodXvys6NxgTR9",229409893579886,4,"female","Germany","middle school",3,1697,56,"> 4'000€
>5'900 CHF",28,"okay",6,1.35985576923077,0,1,1,0,1,0,1,0.571428571428571
"59","R_1dsrU6BIqHDLqN3",229320605950083,6,"female","Germany","middle school",3,524,28,"<1'500- 2'499€
3'100-4'299CHF",8,"speeder",5,0.359855769230769,1,1,1,0,1,1,1,0.857142857142857
"60","R_1DSURcJvOpaPjL4",229410206632128,7,"male","Switzerland","obligatory school",4,2073,48,"> 4'000€
>5'900 CHF",34,"okay",5.5,0.859855769230769,1,1,1,1,1,1,1,1
"61","R_1Dw12dAWVKw9xMK",229677069763603,5,"female","Germany","middle school",4,5028,52,"2'500- 4'000€
<4'300- 5'899CHF",83,"okay",5,0.359855769230769,0,1,1,0,1,1,1,0.714285714285714
"62","R_1dyNNy7i0IogXjW",229321438291162,4,"female","Switzerland","middle school",1,1272,26,"<1'500- 2'499€
3'100-4'299CHF",21,"okay",5.25,0.609855769230769,0,1,1,1,0,0,1,0.571428571428571
"63","R_1E0PjXD25VOm0g1",229758201767112,5,"female","Germany","obligatory school",2,1230,62,"> 4'000€
>5'900 CHF",20,"okay",4,-0.640144230769231,0,1,1,1,1,1,0,0.714285714285714
"64","R_1E9U1jO9sggxQfj",229409893617680,2,"male","Germany","degree",2,969,41,"> 4'000€
>5'900 CHF",16,"okay",6,1.35985576923077,0,1,1,0,0,0,0,0.285714285714286
"65","R_1Eag3xMoE7wW18J",229320605989990,4,"male","Germany","middle school",4,867,23,"2'500- 4'000€
<4'300- 5'899CHF",14,"okay",5.25,0.609855769230769,0,1,1,0,1,0,1,0.571428571428571
"66","R_1EchG4dSmgBEi78",229409893575717,0,"male","Germany","degree",3,417,34,"> 4'000€
>5'900 CHF",6,"speeder",6,1.35985576923077,0,0,0,0,0,0,0,0
"67","R_1Eh4vp1pfF8GFJb",229321438343251,0,"female","Switzerland","middle school",1,1414,29,"<1'500€
<3'100CHF",23,"okay",6,1.35985576923077,0,0,0,0,0,0,0,0
"68","R_1eP2L8wV1THm3zI",229256171632771,7,"female","Switzerland","degree",2,1131,59,"<1'500- 2'499€
3'100-4'299CHF",18,"okay",5.5,0.859855769230769,1,1,1,1,1,1,1,1
"69","R_1eRCYskWSJa6ovm",229409893586946,2,"male","Germany","degree",2,711,38,"> 4'000€
>5'900 CHF",11,"okay",1.25,-3.39014423076923,0,1,0,0,1,0,0,0.285714285714286
"70","R_1esHTNUUBMqaFT4",229758454221926,1,"female","Switzerland","obligatory school",2,1306,80,"<1'500€
<3'100CHF",21,"okay",6,1.35985576923077,0,0,1,0,0,0,0,0.142857142857143
"71","R_1etSyOQPJkT6TOX",229409893552239,1,"male","Germany","degree",2,777,38,"> 4'000€
>5'900 CHF",12,"okay",2.5,-2.14014423076923,0,0,1,0,0,0,0,0.142857142857143
"72","R_1eVHrT71kd11atG",229166066774127,5,"male","Germany","middle school",1,671,37,"2'500- 4'000€
<4'300- 5'899CHF",11,"okay",6,1.35985576923077,0,1,1,0,1,1,1,0.714285714285714
"73","R_1eW7sUTARX7EZVa",229677069767759,3,"female","Germany","middle school",2,793,60,"> 4'000€
>5'900 CHF",13,"okay",6,1.35985576923077,0,0,1,0,1,0,1,0.428571428571429
"74","R_1EXckHTPL38e8I3",229409893618721,0,"female","Germany","obligatory school",1,823,49,"<1'500€
<3'100CHF",13,"okay",5.25,0.609855769230769,0,0,0,0,0,0,0,0
"75","R_1F34b5Sc8PY9Agr",229320605949038,3,"male","Germany","degree",2,2515,44,"2'500- 4'000€
<4'300- 5'899CHF",41,"okay",5.75,1.10985576923077,0,1,0,0,1,0,1,0.428571428571429
"76","R_1f3YXfeCEsOPSlV",229677069768795,0,"male","Germany","obligatory school",2,947,74,"2'500- 4'000€
<4'300- 5'899CHF",15,"okay",6,1.35985576923077,0,0,0,0,0,0,0,0
"77","R_1F95ZqBmJuJUOkw",230469411958921,7,"male","Switzerland","degree",2,2625,75,"> 4'000€
>5'900 CHF",43,"okay",5,0.359855769230769,1,1,1,1,1,1,1,1
"78","R_1F97pVdAYa0AR1X",229321438387356,7,"female","Switzerland","middle school",1,837,29,"<1'500€
<3'100CHF",13,"okay",5.25,0.609855769230769,1,1,1,1,1,1,1,1
"79","R_1Fb60FleWdn0RUE",229677069754513,1,"female","Germany","degree",2,793,66,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",4,-0.640144230769231,0,1,0,0,0,0,0,0.142857142857143
"80","R_1fd2J5yU5aMILdN",229321437584534,1,"male","Switzerland","obligatory school",4,1325,30,"2'500- 4'000€
<4'300- 5'899CHF",22,"okay",6,1.35985576923077,0,0,1,0,0,0,0,0.142857142857143
"81","R_1FDpeUrcOgJSNxf",229320605935728,7,"male","Germany","degree",3,1235,65,"> 4'000€
>5'900 CHF",20,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"82","R_1FET35ZNzpaPbdF",229678093261955,7,"male","Switzerland","degree",3,1802,74,"> 4'000€
>5'900 CHF",30,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"83","R_1Ff7YEINWKKGDH6",229166416673876,6,"male","Switzerland","degree",2,1080,45,"> 4'000€
>5'900 CHF",18,"okay",5.75,1.10985576923077,1,1,1,1,1,0,1,0.857142857142857
"84","R_1FFDYiR7B3bxAQw",229409893563459,3,"female","Germany","middle school",4,927,47,"2'500- 4'000€
<4'300- 5'899CHF",15,"okay",3.5,-1.14014423076923,1,0,0,1,1,0,0,0.428571428571429
"85","R_1FmtO0YnX1gLS41",229321437677579,0,"male","Switzerland","obligatory school",4,940,36,"<1'500- 2'499€
3'100-4'299CHF",15,"okay",1,-3.64014423076923,0,0,0,0,0,0,0,0
"86","R_1Frcm9brNvhVz0E",229166066778296,3,"female","Germany","middle school",2,1239,59,"> 4'000€
>5'900 CHF",20,"okay",6,1.35985576923077,0,0,1,0,1,0,1,0.428571428571429
"87","R_1FsrFDQpo9ZXqH5",229678093212685,5,"female","Switzerland","degree",4,1854,46,"<1'500- 2'499€
3'100-4'299CHF",30,"okay",5.5,0.859855769230769,0,1,1,0,1,1,1,0.714285714285714
"88","R_1FxPHFim5fqJQQ6",229320605945902,3,"male","Germany","degree",3,4271,68,"<1'500- 2'499€
3'100-4'299CHF",71,"okay",6,1.35985576923077,0,0,1,0,1,0,1,0.428571428571429
"89","R_1fZtkgmHmLRnrKW",229256171627637,2,"male","Switzerland","degree",2,492,45,"> 4'000€
>5'900 CHF",8,"speeder",2.75,-1.89014423076923,1,0,0,1,0,0,0,0.285714285714286
"90","R_1g0codRo4a9OQoO",229255657936997,2,"male","Germany","middle school",3,343,28,"> 4'000€
>5'900 CHF",5,"speeder",6,1.35985576923077,0,1,0,1,0,0,0,0.285714285714286
"91","R_1g1O2JjSKKojx0s",229255657946137,4,"female","Germany","obligatory school",1,978,39,"<1'500€
<3'100CHF",16,"okay",3,-1.64014423076923,0,0,1,1,1,0,1,0.571428571428571
"92","R_1g5agXpdJJ6BJpS",229409893616888,4,"male","Germany","no formal education",4,1080,33,"2'500- 4'000€
<4'300- 5'899CHF",18,"okay",2.25,-2.39014423076923,0,1,1,0,1,0,1,0.571428571428571
"93","R_1g7O48k1U9uzT2z",229409893576757,0,"male","Germany","no formal education",1,1108,60,"<1'500- 2'499€
3'100-4'299CHF",18,"okay",5.5,0.859855769230769,0,0,0,0,0,0,0,0
"94","R_1g8sB1oxmSUbqac",229321437575305,2,"male","Switzerland","degree",1,1588,73,"<1'500€
<3'100CHF",26,"okay",6,1.35985576923077,0,0,1,0,0,0,1,0.285714285714286
"95","R_1gb6mTTQKwtfnyy",229410206638293,4,"female","Switzerland","no formal education",3,638,62,"> 4'000€
>5'900 CHF",10,"okay",5,0.359855769230769,0,1,0,1,1,1,0,0.571428571428571
"96","R_1GHQis7V3Yvuhjl",229678093350079,7,"female","Switzerland","degree",1,3733,43,"2'500- 4'000€
<4'300- 5'899CHF",62,"okay",5,0.359855769230769,1,1,1,1,1,1,1,1
"97","R_1GHQl4ynOuXKsoJ",229166416665772,1,"male","Switzerland","degree",3,781,33,"> 4'000€
>5'900 CHF",13,"okay",4.75,0.109855769230769,0,0,1,0,0,0,0,0.142857142857143
"98","R_1gLvjTZg4QNX5QS",229255657939091,3,"female","Germany","degree",2,720,31,"> 4'000€
>5'900 CHF",12,"okay",4.75,0.109855769230769,0,1,1,0,0,0,1,0.428571428571429
"99","R_1gMTHND9hMVtlq6",229758454235278,3,"female","Switzerland","degree",1,1004,61,"<1'500€
<3'100CHF",16,"okay",5.5,0.859855769230769,0,0,0,0,1,1,1,0.428571428571429
"100","R_1gnF5xx7LiG6Ey4",229320605952170,3,"female","Germany","degree",3,2238,62,"<1'500€
<3'100CHF",37,"okay",4.25,-0.390144230769231,0,0,1,0,1,0,1,0.428571428571429
"101","R_1goMqJsYgb0Irzh",229320605955306,6,"male","Germany","middle school",5,1092,21,"> 4'000€
>5'900 CHF",18,"okay",5.75,1.10985576923077,1,1,1,1,1,0,1,0.857142857142857
"102","R_1gSAD3TrXCoKAP8",229166066770996,1,"female","Germany","no formal education",1,11389,56,"<1'500€
<3'100CHF",189,"okay",6,1.35985576923077,0,0,0,0,0,1,0,0.142857142857143
"103","R_1gtGpBozpmrbv6x",229409893602310,0,"female","Germany","obligatory school",5,1302,49,"> 4'000€
>5'900 CHF",21,"okay",6,1.35985576923077,0,0,0,0,0,0,0,0
"104","R_1gznfQwU0vN5Ydh",229678093431933,5,"female","Switzerland","degree",4,1252,32,"2'500- 4'000€
<4'300- 5'899CHF",20,"okay",2.5,-2.14014423076923,1,1,1,1,1,0,0,0.714285714285714
"105","R_1H6Rjj0awqzoXyO",229677069756609,2,"female","Germany","obligatory school",1,780,70,"2'500- 4'000€
<4'300- 5'899CHF",13,"okay",5,0.359855769230769,0,0,1,0,0,0,1,0.285714285714286
"106","R_1HeQdGgV52rVz4y",229321438195740,6,"female","Switzerland","middle school",2,410,25,"> 4'000€
>5'900 CHF",6,"speeder",2.75,-1.89014423076923,0,1,1,1,1,1,1,0.857142857142857
"107","R_1hL4QuHA0nQNs2o",229255657947177,6,"female","Germany","obligatory school",3,729,30,"2'500- 4'000€
<4'300- 5'899CHF",12,"speeder",4,-0.640144230769231,0,1,1,1,1,1,1,0.857142857142857
"108","R_1hLLdj97CiJdPA7",229320605959221,0,"male","Germany","obligatory school",1,445,28,"<1'500- 2'499€
3'100-4'299CHF",7,"speeder",3.5,-1.14014423076923,0,0,0,0,0,0,0,0
"109","R_1hMP27SWGSrmZoT",229255657985168,0,"male","Germany","obligatory school",1,876,42,"<1'500- 2'499€
3'100-4'299CHF",14,"okay",1.5,-3.14014423076923,0,0,0,0,0,0,0,0
"110","R_1hMYiqDBHmvx91P",229320606084261,3,"female","Germany","no formal education",2,1003,28,"<1'500- 2'499€
3'100-4'299CHF",16,"okay",4.25,-0.390144230769231,0,0,0,0,1,1,1,0.428571428571429
"111","R_1hN2fFHEfAEgcbd",229320605944858,3,"male","Germany","degree",2,1361,71,"> 4'000€
>5'900 CHF",22,"okay",6,1.35985576923077,0,0,1,0,1,0,1,0.428571428571429
"112","R_1hPRfP2ZEnVS9MR",229255657966697,4,"female","Germany","degree",1,1702,73,"<1'500€
<3'100CHF",28,"okay",5.25,0.609855769230769,0,1,1,0,1,0,1,0.571428571428571
"113","R_1hQEo3eSrkO8U4m",229255657965656,7,"male","Germany","degree",2,4865,67,"<1'500- 2'499€
3'100-4'299CHF",81,"okay",4,-0.640144230769231,1,1,1,1,1,1,1,1
"114","R_1hSg3c1t5AlsbYl",229320605993135,4,"female","Germany","obligatory school",2,2094,23,"<1'500€
<3'100CHF",34,"okay",6,1.35985576923077,0,1,0,1,0,1,1,0.571428571428571
"115","R_1hWENNYHai5sIcR",229678093101132,7,"female","Switzerland","obligatory school",2,2142,66,"2'500- 4'000€
<4'300- 5'899CHF",35,"okay",1,-3.64014423076923,1,1,1,1,1,1,1,1
"116","R_1hYcEowvUwVWBqw",229855351995491,5,"female","Germany","degree",2,5132,61,"> 4'000€
>5'900 CHF",85,"okay",6,1.35985576923077,0,1,1,1,1,0,1,0.714285714285714
"117","R_1i3c3kYUgGHTiAA",229321437798583,2,"female","Switzerland","obligatory school",1,1031,55,"<1'500€
<3'100CHF",17,"okay",5,0.359855769230769,0,0,1,0,0,1,0,0.285714285714286
"118","R_1i3WThj1PPLv7sg",229321438164192,4,"female","Switzerland","obligatory school",1,1611,32,"2'500- 4'000€
<4'300- 5'899CHF",26,"okay",4.25,-0.390144230769231,0,1,1,0,0,1,1,0.571428571428571
"119","R_1I4WlAa3OiJqVwK",229758453888227,1,"female","Switzerland","obligatory school",1,968,62,"<1'500€
<3'100CHF",16,"okay",5.75,1.10985576923077,0,0,1,0,0,0,0,0.142857142857143
"120","R_1I6MKxO41jAt15N",229166066782222,0,"male","Germany","degree",2,1439,29,"2'500- 4'000€
<4'300- 5'899CHF",23,"okay",5.75,1.10985576923077,0,0,0,0,0,0,0,0
"121","R_1I6tryAkVhTDSJ0",229678093437108,2,"female","Switzerland","degree",2,1768,35,"2'500- 4'000€
<4'300- 5'899CHF",29,"okay",5.75,1.10985576923077,0,0,1,0,0,0,1,0.285714285714286
"122","R_1iaf4Aae3z5NeHz",229409893597357,1,"male","Germany","middle school",3,993,62,"2'500- 4'000€
<4'300- 5'899CHF",16,"okay",3,-1.64014423076923,0,0,0,0,0,0,1,0.142857142857143
"123","R_1ieQRxYeTzXFxyz",229409893579901,7,"female","Germany","obligatory school",2,1075,54,"2'500- 4'000€
<4'300- 5'899CHF",17,"okay",6,1.35985576923077,1,1,1,1,1,1,1,1
"124","R_1IGfF1abpdkWhLy",229166066780404,4,"female","Germany","obligatory school",2,1497,72,"2'500- 4'000€
<4'300- 5'899CHF",24,"okay",4.75,0.109855769230769,0,1,1,0,1,0,1,0.571428571428571
"125","R_1Ih2ia6myVK2Eor",229320605934680,1,"male","Germany","obligatory school",1,635,45,"<1'500€
<3'100CHF",10,"okay",5.25,0.609855769230769,0,0,0,0,0,0,1,0.142857142857143
"126","R_1ILP4klkIHMb0xr",229855352125590,7,"female","Germany","middle school",2,1161,65,"2'500- 4'000€
<4'300- 5'899CHF",19,"okay",2.5,-2.14014423076923,1,1,1,1,1,1,1,1
"127","R_1imRgwgV3MRhScB",229677069752429,6,"female","Germany","obligatory school",2,772,60,"2'500- 4'000€
<4'300- 5'899CHF",12,"okay",4.25,-0.390144230769231,1,1,1,1,0,1,1,0.857142857142857
"128","R_1imVOnSNxFLWN9G",229758454052046,0,"female","Switzerland","no formal education",1,2131,63,"<1'500- 2'499€
3'100-4'299CHF",35,"okay",2.5,-2.14014423076923,0,0,0,0,0,0,0,0
"129","R_1IN6hCHI072mZM3",229242295748625,5,"male","Germany","obligatory school",3,2229,25,"2'500- 4'000€
<4'300- 5'899CHF",37,"okay",3.5,-1.14014423076923,0,1,1,1,1,1,0,0.714285714285714
"130","R_1IpgGeW9HhtlACQ",229242295758012,6,"male","Germany","no formal education",1,854,26,"<1'500- 2'499€
3'100-4'299CHF",14,"okay",3,-1.64014423076923,1,1,0,1,1,1,1,0.857142857142857
