"","m","type","wave1","energy.level","price.level","age","gender","education","income.wave1","country","politcalorientation","Sum.policy.wave1","mean.abs.error.wave1","Sum.product","climate_concern.wave1","wave2","mean.abs.error.wave2","Sum.policy.wave2","Sum.product.wave2","climate_concern.wave2"
"32",229166066768913,"exp.low_che.int",0,"1","2",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,0,0.589,8,4,5.5
"33",229166066768913,"exp.low_mid.hig",1,"2","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,1,0.589,8,4,5.5
"34",229166066768913,"mid.low_che.hig",0,"2","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,1,0.589,8,4,5.5
"35",229166066768913,"mid.low_che.int",0,"1","1",52,"male","no formal education","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,6,0.628,1,5,1,0.589,8,4,5.5
"36",229166066768915,"exp.int_che.hig",0,"1","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,0,0.569,7,4,4.75
"37",229166066768915,"exp.int_mid.hig",0,"1","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,1,0.569,7,4,4.75
"38",229166066768915,"exp.low_che.hig",0,"2","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,0,0.569,7,4,4.75
"39",229166066768915,"exp.low_che.int",0,"1","2",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,0,0.569,7,4,4.75
"40",229166066768915,"exp.low_mid.hig",1,"2","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,1,0.569,7,4,4.75
"41",229166066768915,"mid.low_che.hig",0,"2","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,1,0.569,7,4,4.75
"42",229166066768915,"mid.low_che.int",0,"1","1",35,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",7,8,0.569,1,4.75,1,0.569,7,4,4.75
"43",229166066769952,"exp.int_che.hig",1,"1","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"44",229166066769952,"exp.int_mid.hig",1,"1","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"45",229166066769952,"exp.low_che.hig",1,"2","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"46",229166066769952,"exp.low_che.int",1,"1","2",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,0,0.545,5,6,2.75
"47",229166066769952,"exp.low_mid.hig",1,"2","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"48",229166066769952,"mid.low_che.hig",1,"2","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"49",229166066769952,"mid.low_che.int",1,"1","1",35,"male","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,16,0.799,7,4,1,0.545,5,6,2.75
"50",229166066770991,"exp.int_che.hig",0,"1","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,1,1.3,4,5,4
"51",229166066770991,"exp.int_mid.hig",1,"1","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,1,1.3,4,5,4
"52",229166066770991,"exp.low_che.hig",0,"2","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,0,1.3,4,5,4
"53",229166066770991,"exp.low_che.int",0,"1","2",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,1,1.3,4,5,4
"54",229166066770991,"exp.low_mid.hig",1,"2","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,1,1.3,4,5,4
"55",229166066770991,"mid.low_che.hig",1,"2","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,1,1.3,4,5,4
"56",229166066770991,"mid.low_che.int",0,"1","1",69,"male","middle school","<1'500- 2'499€
3'100-4'299CHF","Germany",5,0,0.939,3,5,0,1.3,4,5,4
"57",229166066770993,"exp.int_che.hig",1,"1","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,0,0.397,5,5,5.5
"58",229166066770993,"exp.int_mid.hig",1,"1","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,1,0.397,5,5,5.5
"59",229166066770993,"exp.low_che.hig",1,"2","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,1,0.397,5,5,5.5
"60",229166066770993,"exp.low_che.int",1,"1","2",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,0,0.397,5,5,5.5
"61",229166066770993,"exp.low_mid.hig",1,"2","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,1,0.397,5,5,5.5
"62",229166066770993,"mid.low_che.hig",1,"2","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,1,0.397,5,5,5.5
"63",229166066770993,"mid.low_che.int",1,"1","1",58,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,7,0.394,7,5.25,1,0.397,5,5,5.5
"64",229166066770995,"exp.int_che.hig",1,"1","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"65",229166066770995,"exp.int_mid.hig",1,"1","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"66",229166066770995,"exp.low_che.hig",1,"2","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"67",229166066770995,"exp.low_che.int",1,"1","2",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"68",229166066770995,"exp.low_mid.hig",1,"2","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"69",229166066770995,"mid.low_che.hig",1,"2","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"70",229166066770995,"mid.low_che.int",1,"1","1",50,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,9,1.47,7,4.75,0,1.66,12,0,4.25
"71",229166066770996,"exp.int_che.hig",0,"1","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"72",229166066770996,"exp.int_mid.hig",0,"1","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"73",229166066770996,"exp.low_che.hig",0,"2","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"74",229166066770996,"exp.low_che.int",0,"1","2",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"75",229166066770996,"exp.low_mid.hig",0,"2","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"76",229166066770996,"mid.low_che.hig",1,"2","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,0,0.523,9,1,6
"77",229166066770996,"mid.low_che.int",1,"1","1",56,"female","no formal education","<1'500€
<3'100CHF","Germany",4,8,0.682,2,6,1,0.523,9,1,6
"78",229166066772029,"exp.int_che.hig",0,"1","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"79",229166066772029,"exp.int_mid.hig",1,"1","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"80",229166066772029,"exp.low_che.hig",0,"2","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"81",229166066772029,"exp.low_che.int",0,"1","2",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"82",229166066772029,"exp.low_mid.hig",0,"2","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"83",229166066772029,"mid.low_che.hig",0,"2","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"84",229166066772029,"mid.low_che.int",0,"1","1",43,"male","middle school","> 4'000€
>5'900 CHF","Germany",2,9,0.752,1,6,1,0.73,11,7,6
"85",229166066772032,"exp.int_che.hig",0,"1","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"86",229166066772032,"exp.int_mid.hig",0,"1","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"87",229166066772032,"exp.low_che.hig",0,"2","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"88",229166066772032,"exp.low_che.int",0,"1","2",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"89",229166066772032,"exp.low_mid.hig",0,"2","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"90",229166066772032,"mid.low_che.hig",0,"2","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"91",229166066772032,"mid.low_che.int",0,"1","1",51,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,3,0.348,0,3.5,0,0.417,10,0,2.75
"92",229166066774127,"exp.int_che.hig",1,"1","2",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,0,0.728,8,5,6
"93",229166066774127,"exp.int_mid.hig",1,"1","1",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,1,0.728,8,5,6
"94",229166066774127,"exp.low_che.hig",1,"2","2",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,1,0.728,8,5,6
"95",229166066774127,"exp.low_che.int",0,"1","2",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,0,0.728,8,5,6
"96",229166066774127,"exp.low_mid.hig",1,"2","1",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,1,0.728,8,5,6
"97",229166066774127,"mid.low_che.hig",1,"2","1",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,1,0.728,8,5,6
"98",229166066774127,"mid.low_che.int",0,"1","1",37,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.43,5,5,1,0.728,8,5,6
"99",229166066775173,"exp.int_che.hig",0,"1","2",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"100",229166066775173,"exp.int_mid.hig",0,"1","1",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"101",229166066775173,"exp.low_che.hig",0,"2","2",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"102",229166066775173,"exp.low_che.int",1,"1","2",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"103",229166066775173,"exp.low_mid.hig",0,"2","1",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"104",229166066775173,"mid.low_che.hig",1,"2","1",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"105",229166066775173,"mid.low_che.int",0,"1","1",24,"female","obligatory school","<1'500- 2'499€
3'100-4'299CHF","Germany",6,10,0.346,2,3,0,0.647,2,0,3.5
"106",229166066778296,"exp.int_che.hig",0,"1","2",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,0,1.08,10,3,6
"107",229166066778296,"exp.int_mid.hig",0,"1","1",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,1,1.08,10,3,6
"108",229166066778296,"exp.low_che.hig",0,"2","2",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,0,1.08,10,3,6
"109",229166066778296,"exp.low_che.int",0,"1","2",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,0,1.08,10,3,6
"110",229166066778296,"exp.low_mid.hig",0,"2","1",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,1,1.08,10,3,6
"111",229166066778296,"mid.low_che.hig",1,"2","1",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,1,1.08,10,3,6
"112",229166066778296,"mid.low_che.int",0,"1","1",59,"female","middle school","> 4'000€
>5'900 CHF","Germany",5,4,0.769,1,6,0,1.08,10,3,6
"113",229166066778304,"exp.int_che.hig",1,"1","2",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"114",229166066778304,"exp.int_mid.hig",1,"1","1",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"115",229166066778304,"exp.low_che.hig",1,"2","2",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"116",229166066778304,"exp.low_che.int",0,"1","2",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"117",229166066778304,"exp.low_mid.hig",1,"2","1",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,1,0.274,12,1,5.5
"118",229166066778304,"mid.low_che.hig",1,"2","1",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"119",229166066778304,"mid.low_che.int",1,"1","1",70,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,9,0.488,6,5.25,0,0.274,12,1,5.5
"120",229166066778312,"exp.int_che.hig",1,"1","2",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"121",229166066778312,"exp.int_mid.hig",1,"1","1",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"122",229166066778312,"exp.low_che.hig",1,"2","2",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"123",229166066778312,"exp.low_che.int",1,"1","2",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,0,0.242,8,6,6
"124",229166066778312,"exp.low_mid.hig",1,"2","1",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"125",229166066778312,"mid.low_che.hig",1,"2","1",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"126",229166066778312,"mid.low_che.int",1,"1","1",64,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",3,7,0.346,7,6,1,0.242,8,6,6
"127",229166066780393,"exp.int_che.hig",0,"1","2",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"128",229166066780393,"exp.int_mid.hig",0,"1","1",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"129",229166066780393,"exp.low_che.hig",0,"2","2",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"130",229166066780393,"exp.low_che.int",0,"1","2",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"131",229166066780393,"exp.low_mid.hig",0,"2","1",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"132",229166066780393,"mid.low_che.hig",1,"2","1",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"133",229166066780393,"mid.low_che.int",0,"1","1",57,"male","obligatory school","> 4'000€
>5'900 CHF","Germany",8,7,1.01,1,4.75,0,0.486,5,0,4.75
"134",229166066780404,"exp.int_che.hig",0,"1","2",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,0,0.466,8,4,4.75
"135",229166066780404,"exp.int_mid.hig",0,"1","1",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,1,0.466,8,4,4.75
"136",229166066780404,"exp.low_che.hig",1,"2","2",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,1,0.466,8,4,4.75
"137",229166066780404,"exp.low_che.int",0,"1","2",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,0,0.466,8,4,4.75
"138",229166066780404,"exp.low_mid.hig",1,"2","1",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,1,0.466,8,4,4.75
"139",229166066780404,"mid.low_che.hig",1,"2","1",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,1,0.466,8,4,4.75
"140",229166066780404,"mid.low_che.int",0,"1","1",72,"female","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",5,8,0.528,3,5.25,0,0.466,8,4,4.75
"141",229166066782222,"exp.int_che.hig",0,"1","2",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"142",229166066782222,"exp.int_mid.hig",0,"1","1",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"143",229166066782222,"exp.low_che.hig",0,"2","2",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"144",229166066782222,"exp.low_che.int",0,"1","2",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"145",229166066782222,"exp.low_mid.hig",0,"2","1",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"146",229166066782222,"mid.low_che.hig",1,"2","1",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"147",229166066782222,"mid.low_che.int",1,"1","1",29,"male","degree","<1'500- 2'499€
3'100-4'299CHF","Germany",5,11,0.574,2,6,0,0.689,9,0,5.75
"148",229166066786390,"exp.int_che.hig",0,"1","2",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,0,0.434,2,3,1.25
"149",229166066786390,"exp.int_mid.hig",1,"1","1",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,0,0.434,2,3,1.25
"150",229166066786390,"exp.low_che.hig",0,"2","2",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,1,0.434,2,3,1.25
"151",229166066786390,"exp.low_che.int",0,"1","2",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,0,0.434,2,3,1.25
"152",229166066786390,"exp.low_mid.hig",1,"2","1",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,1,0.434,2,3,1.25
"153",229166066786390,"mid.low_che.hig",1,"2","1",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,1,0.434,2,3,1.25
"154",229166066786390,"mid.low_che.int",1,"1","1",60,"male","obligatory school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.579,4,1,0,0.434,2,3,1.25
"155",229166066788467,"exp.int_che.hig",0,"1","2",56,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.441,1,1,0,1.21,0,0,1
"156",229166066788467,"exp.int_mid.hig",0,"1","1",56,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.441,1,1,0,1.21,0,0,1
"157",229166066788467,"exp.low_che.hig",0,"2","2",56,"male","middle school","2'500- 4'000€
<4'300- 5'899CHF","Germany",8,0,0.441,1,1,0,1.21,0,0,1
