"","m","Duration.wave1","ResponseId.wave1","gender","country","income.wave1","education","household_size","politicalorientation_1","Duration.wave2","ResponseId","age","income.wave2","Minutes.wave1","Minutes.wave2","Minutes"
"31",229166416662627,763,"R_pbbiWuR68CLd12V","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,6,15418,"R_2VEBV1FZqbQzJh9",40,"> 4'000€
>5'900 CHF",12,256,"okay"
"32",229166416662637,1916,"R_ZFcYjQPti4GmnId","female","Switzerland","<1'500€
<3'100CHF","obligatory school",1,5,1480,"R_3mAe9TEtmdbknbb",40,"<1'500€
<3'100CHF",31,24,"okay"
"33",229166416663673,1506,"R_3EGccqupxv5YC29","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",4,3,1124,"R_31gXaeWDD8YXO0m",42,"> 4'000€
>5'900 CHF",25,18,"okay"
"34",229166416665772,993,"R_279DrW8COJ7EWg9","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",3,5,781,"R_1GHQl4ynOuXKsoJ",33,"> 4'000€
>5'900 CHF",16,13,"okay"
"35",229166416665777,1092,"R_1okjaSmNIcl4O4y","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",1,4,1164,"R_2YSB2Ar1L0afUeM",56,"2'500- 4'000€
<4'300- 5'899CHF",18,19,"okay"
"36",229166416666812,686,"R_3GfFGdrjJRUqybx","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,1093,"R_3soja05ifxsWkQq",25,"<1'500- 2'499€
3'100-4'299CHF",11,18,"okay"
"37",229166416667853,1251,"R_3KSWg37wet3GUTw","female","Switzerland","> 4'000€
>5'900 CHF","degree",1,3,1446,"R_3m7AJOItrFHHcFB",39,"> 4'000€
>5'900 CHF",20,24,"okay"
"38",229166416667863,1381,"R_1FQVElWKrunBigd","female","Switzerland","> 4'000€
>5'900 CHF","degree",4,8,1374,"R_2fx5TdeHZkzu7SR",47,"> 4'000€
>5'900 CHF",23,22,"okay"
"39",229166416673876,1505,"R_xfnvdWOK6OtEIBb","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,1080,"R_1Ff7YEINWKKGDH6",45,"> 4'000€
>5'900 CHF",25,18,"okay"
"40",229166416689292,1696,"R_3QDbKyq8ExtSrh4","female","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",3,5,1396,"R_3QQyZQp3jw4DK0T",29,"> 4'000€
>5'900 CHF",28,23,"okay"
"41",229242295738451,950,"R_2316XoX4fkvFvf4","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1246,"R_2b4cSi6KufHEXQf",59,"<1'500- 2'499€
3'100-4'299CHF",15,20,"okay"
"42",229242295738453,1582,"R_2rD5JnSOvonHkaY","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,2126,"R_22y2tZsREaqt265",63,"> 4'000€
>5'900 CHF",26,35,"okay"
"43",229242295738457,1101,"R_3Emuny9GTE1FmCf","male","Germany","> 4'000€
>5'900 CHF","obligatory school",3,8,945,"R_2dKehFZ6Q0ZuvKP",48,"> 4'000€
>5'900 CHF",18,15,"okay"
"44",229242295738458,1807,"R_yUWSmPkKkg62fJf","male","Germany","<1'500€
<3'100CHF","middle school",1,3,866,"R_1pF3jLkb5kuiHLt",49,"<1'500€
<3'100CHF",30,14,"okay"
"45",229242295739490,852,"R_4O7bW4HIAb2vxxT","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,2610,"R_2WTlibDKLH1wBQv",37,"<1'500- 2'499€
3'100-4'299CHF",14,43,"okay"
"46",229242295740534,1402,"R_3P5N96tlMTxv2SB","male","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",2,3,2525,"R_SO7m43ZdxE2ch33",76,"<1'500- 2'499€
3'100-4'299CHF",23,42,"okay"
"47",229242295742617,1811,"R_1OktPLDHHWKRHhV","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,3,1557,"R_zdofFPepnmXbyFP",51,"2'500- 4'000€
<4'300- 5'899CHF",30,25,"okay"
"48",229242295743653,1541,"R_2uOfXbC4McyIpk1","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,1612,"R_28G4qPGUAsKipWV",66,"2'500- 4'000€
<4'300- 5'899CHF",25,26,"okay"
"49",229242295744700,1672,"R_2ePGhUSWhjV9inV","male","Germany","<1'500€
<3'100CHF","obligatory school",2,5,1803,"R_1QrpE21fw7QXXYu",60,"<1'500€
<3'100CHF",27,30,"okay"
"50",229242295744711,575,"R_2f7CBh1lJf4ruTO","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",1,5,2020,"R_3memv651G9uTAZj",37,"<1'500- 2'499€
3'100-4'299CHF",9,33,"okay"
"51",229242295745754,650,"R_yDu5FSL1xttI8Ap","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,4,2285,"R_2WHAkr9jjTRTfWF",34,"2'500- 4'000€
<4'300- 5'899CHF",10,38,"okay"
"52",229242295746789,1488,"R_AomSIyMtDd4sOA1","male","Germany","<1'500€
<3'100CHF","no formal education",2,6,1234,"R_2B4jgxePdmcIg6a",59,"<1'500€
<3'100CHF",24,20,"okay"
"53",229242295748626,1340,"R_1pXWlt9fDYhaR3c","female","Germany","<1'500€
<3'100CHF","degree",1,5,1778,"R_1PZfkT8XYl42PDz",66,"<1'500- 2'499€
3'100-4'299CHF",22,29,"okay"
"54",229242295749654,747,"R_2ZBtopiyki2EAhe","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",2,8,840,"R_3257tFfOjV1jKwQ",56,"2'500- 4'000€
<4'300- 5'899CHF",12,14,"okay"
"55",229242295749656,524,"R_1mRClohcHMkdAdv","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,6,696,"R_XtEy0k8gPjhhQ3f",53,"<1'500- 2'499€
3'100-4'299CHF",8,11,"okay"
"56",229242295749665,630,"R_O2OqQdFdyDL9OwN","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",4,3,684,"R_2S16EzuYSfQHKX0",42,"<1'500- 2'499€
3'100-4'299CHF",10,11,"okay"
"57",229242295750704,956,"R_3meiD2BanwaGxyW","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,6,1340,"R_bmdU5AFsEXGtKqB",55,"2'500- 4'000€
<4'300- 5'899CHF",15,22,"okay"
"58",229242295750705,777,"R_Q9A5nzfd3fY5DsB","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,5,978,"R_xsZKooKsEADYt8d",46,"2'500- 4'000€
<4'300- 5'899CHF",12,16,"okay"
"59",229242295752786,627,"R_40dNrMPFaOtEmbL","male","Germany","> 4'000€
>5'900 CHF","middle school",2,3,597,"R_Re625Ooz0OYFtXb",63,"> 4'000€
>5'900 CHF",10,9,"okay"
"60",229242295753826,1683,"R_3lGjzJeCRnEeWYp","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,4,1648,"R_2v0yEORbEoaCcvW",45,"2'500- 4'000€
<4'300- 5'899CHF",28,27,"okay"
"61",229242295753832,2025,"R_d1lzcWcat1nY2jL","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",5,7,2545,"R_2PcWpDYMkGdiWuA",31,"<1'500- 2'499€
3'100-4'299CHF",33,42,"okay"
"62",229242295753838,1895,"R_AHYq3fKkaHCcbWF","male","Germany","<1'500€
<3'100CHF","no formal education",2,5,1684,"R_2cnEXR8WCTUWKDw",69,"<1'500€
<3'100CHF",31,28,"okay"
"63",229242295756956,1510,"R_56ZOo15E4R2qzOF","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",1,5,3851,"R_2SHzrbVeMibq1Gl",45,"2'500- 4'000€
<4'300- 5'899CHF",25,64,"okay"
"64",229242295759045,1454,"R_3EF4W42AP3JqbNQ","female","Germany","<1'500€
<3'100CHF","middle school",3,5,2268,"R_2woYgEWJfj0UZPI",44,"<1'500€
<3'100CHF",24,37,"okay"
"65",229242295761139,833,"R_1CdA8mHseMZSYAc","male","Germany","<1'500€
<3'100CHF","middle school",1,5,2028,"R_sziDyRIyZS2XPAR",51,"<1'500€
<3'100CHF",13,33,"okay"
"66",229242295766090,1540,"R_2wEo5iQXCYves2K","female","Germany","<1'500- 2'499€
3'100-4'299CHF","no formal education",2,5,1364,"R_2DSan3zt5JS8l9P",26,"<1'500- 2'499€
3'100-4'299CHF",25,22,"okay"
"67",229242295766095,1313,"R_1QN6OUxkKwgceLu","male","Germany","<1'500€
<3'100CHF","middle school",1,5,1952,"R_5urbZCQJoc2Yv7j",57,"<1'500€
<3'100CHF",21,32,"okay"
"68",229242295775457,7394,"R_3fW33TCtP6kVx1T","female","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",3,5,1459,"R_1QltThrqzdt4ppe",38,"2'500- 4'000€
<4'300- 5'899CHF",123,24,"okay"
"69",229242295779354,1519,"R_2tbx3LZrOJsIeSD","female","Germany","> 4'000€
>5'900 CHF","middle school",3,5,1567,"R_3HRXDzTH4lYxD57",55,"> 4'000€
>5'900 CHF",25,26,"okay"
"70",229242295779358,2919,"R_dcG4YHz0cKrEHO9","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,7,839,"R_zZ23lmI7gsSWtLr",33,"2'500- 4'000€
<4'300- 5'899CHF",48,13,"okay"
"71",229242295780393,861,"R_stgdPaExzIsFfRT","female","Germany","> 4'000€
>5'900 CHF","middle school",4,5,868,"R_elmKlkvTJ0sBMPf",30,"2'500- 4'000€
<4'300- 5'899CHF",14,14,"okay"
"72",229242295787687,1168,"R_DeJW28g6uMydLeF","male","Germany","> 4'000€
>5'900 CHF","no formal education",4,7,1312,"R_2dztNeIeNilgZSd",50,"> 4'000€
>5'900 CHF",19,21,"okay"
"73",229242295791846,760,"R_2dmTN9FJIaj61fb","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","no formal education",4,6,696,"R_2aGDROz7N2AxH8J",39,"2'500- 4'000€
<4'300- 5'899CHF",12,11,"okay"
"74",229242295798887,1928,"R_2rj8UoPO5LJwv1f","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,4,1305,"R_1JUrVGo4h0DuwTF",61,"<1'500- 2'499€
3'100-4'299CHF",32,21,"okay"
"75",229242295804087,841,"R_1QxR1QCXiVrgpRz","male","Germany","<1'500- 2'499€
3'100-4'299CHF","obligatory school",2,7,1069,"R_udzH4UN1P064VWh",31,"<1'500- 2'499€
3'100-4'299CHF",14,17,"okay"
"76",229242295805140,1376,"R_1rwaK99dyb5OiNx","male","Germany","<1'500€
<3'100CHF","middle school",2,6,2871,"R_2rMazT4mo70rBsf",24,"<1'500- 2'499€
3'100-4'299CHF",22,47,"okay"
"77",229242295811148,1805,"R_1QsyXVG8aCHPSpq","female","Germany","<1'500- 2'499€
3'100-4'299CHF","middle school",3,3,984,"R_2U4JJgoRrHPqxRx",43,"<1'500€
<3'100CHF",30,16,"okay"
"78",229242295822351,770,"R_26eY9IqDmD0nVPG","female","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",4,7,1214,"R_2dGR1ye0yw7G94w",39,"2'500- 4'000€
<4'300- 5'899CHF",12,20,"okay"
"79",229242295831746,1611,"R_6SEE2rNUQKx5itb","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,4,1450,"R_10r8rAWRBrcfRNn",67,"2'500- 4'000€
<4'300- 5'899CHF",26,24,"okay"
"80",229242295843984,545,"R_2PwhR3qIr4XLkco","male","Germany","> 4'000€
>5'900 CHF","middle school",2,5,678,"R_1rAhq8JtngWYhI1",49,"> 4'000€
>5'900 CHF",9,11,"okay"
"81",229242295848169,1225,"R_2Bas2WO0yoM9QdK","male","Germany","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,5,2248,"R_1OwNrBIiXECqoyG",67,"2'500- 4'000€
<4'300- 5'899CHF",20,37,"okay"
"82",229242295855225,1316,"R_3RgO5GN0KthHTX2","male","Germany","> 4'000€
>5'900 CHF","obligatory school",4,5,1637,"R_BA5f3bgdhMyK6Rz",36,"> 4'000€
>5'900 CHF",21,27,"okay"
"83",229242295868534,1044,"R_1KdVL9CKXXnCwiP","male","Germany","> 4'000€
>5'900 CHF","obligatory school",2,6,828,"R_3Jfm7oG4vSdjKOY",41,"> 4'000€
>5'900 CHF",17,13,"okay"
"84",229242449955882,1138,"R_Opo4165ngCwoCwF","female","Switzerland","> 4'000€
>5'900 CHF","middle school",3,4,1000,"R_2XiIXFvRQQWAgP4",42,"> 4'000€
>5'900 CHF",18,16,"okay"
"85",229242449955883,1653,"R_ePRcGNZrHmqLnz3","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,2,1050,"R_3jd276FCkxUx0jk",65,"> 4'000€
>5'900 CHF",27,17,"okay"
"86",229242449956909,1303,"R_1CaoCMfaarSxBtF","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,7,1628,"R_Rkm2OIdJcP6tieZ",74,"> 4'000€
>5'900 CHF",21,27,"okay"
"87",229242449956910,1409,"R_b4uyOv2omR0cmf7","non-binary","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","middle school",2,2,1941,"R_2dWss8mIevBNbql",49,"<1'500- 2'499€
3'100-4'299CHF",23,32,"okay"
"88",229242449956912,1022,"R_1Ntv8wpML03b7xm","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,7,2581,"R_efXCEpWlSglm0g1",45,"> 4'000€
>5'900 CHF",17,43,"okay"
"89",229242449956920,1571,"R_BP2EFUxic96I9z3","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","obligatory school",1,3,697,"R_2PnvZ3t3ESLuuRg",58,"<1'500- 2'499€
3'100-4'299CHF",26,11,"okay"
"90",229242449956922,1974,"R_22Gm4uvMmbgC5DE","male","Switzerland","<1'500€
<3'100CHF","degree",1,6,1745,"R_21hMGEwDlPxhjIx",67,"<1'500€
<3'100CHF",32,29,"okay"
"91",229242449956923,1911,"R_1KuKiaIDKfwR9fT","male","Switzerland","> 4'000€
>5'900 CHF","no formal education",3,2,1625,"R_1jxnsKE1PsOW2ud",57,"> 4'000€
>5'900 CHF",31,27,"okay"
"92",229242449957958,1036,"R_6FLOIM9YoMkt9Jv","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,4,1568,"R_27PatKwP1D3wBGB",62,"2'500- 4'000€
<4'300- 5'899CHF",17,26,"okay"
"93",229242449959017,957,"R_3CTa8fnOQGo2vNJ","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,5,2050,"R_vrkRIv7sYwaMm09",71,"> 4'000€
>5'900 CHF",15,34,"okay"
"94",229242449960046,1621,"R_27eATTdBXeYG3tx","male","Switzerland","> 4'000€
>5'900 CHF","middle school",2,4,3973,"R_YVse2xBKz1KBkEF",71,"> 4'000€
>5'900 CHF",27,66,"okay"
"95",229242449960052,2649,"R_yBZ7U0GXRh2cYxP","female","Switzerland","> 4'000€
>5'900 CHF","obligatory school",2,5,2994,"R_2riOlz6GykyQOSK",61,"> 4'000€
>5'900 CHF",44,49,"okay"
"96",229242449960055,1011,"R_1laeW4H0RHUBzsH","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,7,1374,"R_3rzrxxCG9fLy6pr",44,"2'500- 4'000€
<4'300- 5'899CHF",16,22,"okay"
"97",229242449960057,936,"R_3QPeNwrbrNbvdfP","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,8,881,"R_29uhdl1Vw2SydD1",37,"> 4'000€
>5'900 CHF",15,14,"okay"
"98",229242449960062,925,"R_306ktRGjcuf9mZ0","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",3,3,2021,"R_2R3WdyyTBE50O4B",58,"2'500- 4'000€
<4'300- 5'899CHF",15,33,"okay"
"99",229242449960063,970,"R_3ergTTY9rUQZYUY","male","Switzerland","> 4'000€
>5'900 CHF","degree",4,2,1577,"R_1LexZBYJhPpiZjV",32,"> 4'000€
>5'900 CHF",16,26,"okay"
"100",229242449961107,1383,"R_3GE294eZpd1Fd3b","male","Switzerland","> 4'000€
>5'900 CHF","degree",1,6,963,"R_9MQsh0tELQM4X1T",54,"> 4'000€
>5'900 CHF",23,16,"okay"
"101",229242449961111,1143,"R_SZ8HCt2oohfoGEp","male","Switzerland","> 4'000€
>5'900 CHF","obligatory school",1,6,1546,"R_xfjqA81JKACqddn",47,"2'500- 4'000€
<4'300- 5'899CHF",19,25,"okay"
"102",229242449961112,977,"R_3purN895nsgKcPM","male","Switzerland","<1'500€
<3'100CHF","obligatory school",1,7,1112,"R_3Jx6MbfEXTvKxDI",63,"<1'500€
<3'100CHF",16,18,"okay"
"103",229242449962145,775,"R_DkjeeoSb4uJhCZr","female","Switzerland","> 4'000€
>5'900 CHF","middle school",4,3,833,"R_Oy85Q1DqMYq5jlD",38,"> 4'000€
>5'900 CHF",12,13,"okay"
"104",229242449962151,1146,"R_3GjRdkDUeZzBSiE","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,6,1099,"R_2q8jjB4POrxng1J",72,"> 4'000€
>5'900 CHF",19,18,"okay"
"105",229242449962154,3176,"R_Zn3GcTpFo5aOZLX","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",2,8,1734,"R_2e5tMsjqS8r894Q",58,"> 4'000€
>5'900 CHF",52,28,"okay"
"106",229242449963187,534,"R_1jlhdlFwaaQA59K","male","Switzerland","<1'500€
<3'100CHF","degree",1,5,825,"R_2tzlX1mX1CPkNHm",56,"<1'500€
<3'100CHF",8,13,"okay"
"107",229242449963203,906,"R_pnGgcITh1qCIByN","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",2,8,1331,"R_2En7dxb8PY0sVqa",51,"<1'500- 2'499€
3'100-4'299CHF",15,22,"okay"
"108",229242449964248,1020,"R_3RlUrzOB5KhraCa","female","Switzerland","> 4'000€
>5'900 CHF","middle school",2,3,1096,"R_22zBwIlTw6hKf92",51,"> 4'000€
>5'900 CHF",17,18,"okay"
"109",229242449965295,6341,"R_tWjlJgTTfxF3Z85","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",1,5,1333,"R_1JFb2GboLo58HzV",50,"<1'500€
<3'100CHF",105,22,"okay"
"110",229242449966323,775,"R_1giJxdmvvymiV9n","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",2,2,794,"R_3fTRdl9Y4HIzfQI",38,"2'500- 4'000€
<4'300- 5'899CHF",12,13,"okay"
"111",229242449966328,880,"R_3094TaB3sKvL10w","female","Switzerland","<1'500- 2'499€
3'100-4'299CHF","middle school",1,2,805,"R_2m0qE3DQhkw5quZ",24,"<1'500- 2'499€
3'100-4'299CHF",14,13,"okay"
"112",229242449966332,5992,"R_rlGxezzTYyQ1dsd","male","Switzerland","> 4'000€
>5'900 CHF","middle school",4,3,2083,"R_bkklTWAEx4yeNhL",57,"> 4'000€
>5'900 CHF",99,34,"okay"
"113",229242449967117,2993,"R_3IYJzRZcDP54Yp0","female","Switzerland","<1'500€
<3'100CHF","no formal education",2,5,1062,"R_3018SSHXTKbMgat",65,"<1'500€
<3'100CHF",49,17,"okay"
"114",229242449968175,1152,"R_1j8SoIjXPT4DTvP","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","degree",4,4,1725,"R_3nouJkI0EPchv0K",40,"> 4'000€
>5'900 CHF",19,28,"okay"
"115",229242449969214,1162,"R_BWcQlGznhrP7sMp","female","Switzerland","> 4'000€
>5'900 CHF","middle school",3,3,1268,"R_1iqZeodTGsnoO71",50,"> 4'000€
>5'900 CHF",19,21,"okay"
"116",229242449969217,936,"R_2uO5XyabEbAk5mA","male","Switzerland","<1'500- 2'499€
3'100-4'299CHF","degree",1,4,1559,"R_3nDcGHwLMBdULri",26,"<1'500- 2'499€
3'100-4'299CHF",15,25,"okay"
"117",229242449970251,1188,"R_3hbHzzIb2p5LFeV","male","Switzerland","> 4'000€
>5'900 CHF","degree",2,5,1700,"R_yjvkrUjn49WQFHj",75,"> 4'000€
>5'900 CHF",19,28,"okay"
"118",229242449970265,1960,"R_3g7PdyeJYmUqgqL","male","Switzerland","2'500- 4'000€
<4'300- 5'899CHF","obligatory school",4,1,2091,"R_1rP3xwHOfSB3Xfm",57,"> 4'000€
>5'900 CHF",32,34,"okay"
